"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SAN MARCOS (000)",13821,90,286,796,1546,2749,4601,3753
"De 12 a 14 años (001)",39,,,,,,3,36
"De 15 a 19 años (002)",506,,,,,,258,248
"De 20 a 24 años (003)",1501,,,,,8,853,640
"De 25 a 29 años (004)",1694,,,,,120,1012,562
"De 30 a 34 años (005)",1651,,,,,297,975,379
"De 35 a 39 años (006)",1600,,,,13,482,772,333
"De 40 a 44 años (007)",1317,,,,74,535,462,246
"De 45 a 49 años (008)",1138,,,2,168,524,228,216
"De 50 y más años (009)",4375,90,286,794,1291,783,38,1093
"Sin nivel (010)",4680,63,207,480,735,950,1058,1187
"De 12 a 14 años (011)",2,,,,,,,2
"De 15 a 19 años (012)",54,,,,,,39,15
"De 20 a 24 años (013)",211,,,,,1,118,92
"De 25 a 29 años (014)",306,,,,,23,188,95
"De 30 a 34 años (015)",352,,,,,60,216,76
"De 35 a 39 años (016)",384,,,,2,93,215,74
"De 40 a 44 años (017)",390,,,,17,139,157,77
"De 45 a 49 años (018)",455,,,1,44,219,103,88
"De 50 y más años (019)",2526,63,207,479,672,415,22,668
"Educacion Inicial (020)",22,,,,,2,10,10
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",2,,,,,,1,1
"De 20 a 24 años (023)",3,,,,,,1,2
"De 25 a 29 años (024)",7,,,,,,3,4
"De 30 a 34 años (025)",7,,,,,2,3,2
"De 35 a 39 años (026)",2,,,,,,2,
"Primaria (030)",6696,27,71,271,688,1438,2554,1647
"De 12 a 14 años (031)",23,,,,,,2,21
"De 15 a 19 años (032)",321,,,,,,159,162
"De 20 a 24 años (033)",857,,,,,6,525,326
"De 25 a 29 años (034)",939,,,,,77,603,259
"De 30 a 34 años (035)",871,,,,,176,507,188
"De 35 a 39 años (036)",859,,,,7,294,395,163
"De 40 a 44 años (037)",687,,,,43,302,241,101
"De 45 a 49 años (038)",540,,,,88,256,107,89
"De 50 y más años (039)",1599,27,71,271,550,327,15,338
"Secundaria (040)",1431,,7,22,74,226,620,482
"De 12 a 14 años (041)",13,,,,,,1,12
"De 15 a 19 años (042)",127,,,,,,58,69
"De 20 a 24 años (043)",290,,,,,1,165,124
"De 25 a 29 años (044)",264,,,,,15,143,106
"De 30 a 34 años (045)",242,,,,,41,150,51
"De 35 a 39 años (046)",164,,,,3,64,69,28
"De 40 a 44 años (047)",114,,,,9,54,26,25
"De 45 a 49 años (048)",80,,,,25,29,7,19
"De 50 y más años (049)",137,,7,22,37,22,1,48
"Sup. no Univ. incompleta (050)",153,,1,2,5,14,49,82
