"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia JAUJA (000)",31531,21210,10321
"Casa independiente (001)",30149,20602,9547
"Departamento en edificio (002)",45,45,
"Vivienda en quinta (003)",163,163,
"Vivienda en casa de vecindad (004)",353,353,
"Choza o cabaña (005)",771,,771
"Vivienda improvisada (006)",23,23,
"Local no dest.para hab. humana (007)",25,23,2
"Otro tipo (008)",2,1,1
