"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CUSCO (000)",163673,143451,20222
"De 3 a 5 años (001)",20120,2480,17640
"De 6 a 11 años (002)",41621,39536,2085
"De 12 a 16 años (003)",38698,38502,196
"De 17 a 24 años (004)",63234,62933,301
"Hombres (005)",80778,70591,10187
"De 3 a 5 años (006)",10210,1246,8964
"De 6 a 11 años (007)",21151,20112,1039
"De 12 a 16 años (008)",18913,18831,82
"De 17 a 24 años (009)",30504,30402,102
"Mujeres (010)",82895,72860,10035
"De 3 a 5 años (011)",9910,1234,8676
"De 6 a 11 años (012)",20470,19424,1046
"De 12 a 16 años (013)",19785,19671,114
"De 17 a 24 años (014)",32730,32531,199
,,,
"URBANA (015)",155854,136944,18910
"De 3 a 5 años (016)",18902,2338,16564
"De 6 a 11 años (017)",38951,37042,1909
"De 12 a 16 años (018)",36723,36537,186
"De 17 a 24 años (019)",61278,61027,251
"Hombres (020)",76747,67207,9540
"De 3 a 5 años (021)",9606,1175,8431
"De 6 a 11 años (022)",19773,18825,948
"De 12 a 16 años (023)",17885,17811,74
"De 17 a 24 años (024)",29483,29396,87
"Mujeres (025)",79107,69737,9370
"De 3 a 5 años (026)",9296,1163,8133
"De 6 a 11 años (027)",19178,18217,961
"De 12 a 16 años (028)",18838,18726,112
"De 17 a 24 años (029)",31795,31631,164
,,,
"RURAL (030)",7819,6507,1312
"De 3 a 5 años (031)",1218,142,1076
"De 6 a 11 años (032)",2670,2494,176
"De 12 a 16 años (033)",1975,1965,10
"De 17 a 24 años (034)",1956,1906,50
"Hombres (035)",4031,3384,647
"De 3 a 5 años (036)",604,71,533
"De 6 a 11 años (037)",1378,1287,91
"De 12 a 16 años (038)",1028,1020,8
"De 17 a 24 años (039)",1021,1006,15
"Mujeres (040)",3788,3123,665
"De 3 a 5 años (041)",614,71,543
"De 6 a 11 años (042)",1292,1207,85
"De 12 a 16 años (043)",947,945,2
"De 17 a 24 años (044)",935,900,35
