"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONTUMAZA (000)",9230,452,7,4551,2278,248,1060,144,490
"Agric., ganadería, caza y silvicultura (001)",5030,346,4,3390,1089,56,91,17,37
"Pesca (002)",5,,,1,4,,,,
"Explotación de minas y canteras (003)",53,,,13,24,3,4,1,8
"Industrias manufactureras (004)",428,24,,237,114,12,29,4,8
"Suministro de electricidad, gas y agua (005)",30,,,11,5,5,6,1,2
"Construcción (006)",404,12,1,147,155,12,44,9,24
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",791,21,1,277,297,28,115,20,32
"Venta, mant.y rep. veh.autom.y motoc. (008)",69,1,1,16,28,3,18,1,1
"Comercio al por mayor (009)",34,,,10,14,1,7,,2
"Comercio al por menor (010)",688,20,,251,255,24,90,19,29
"Hoteles y restaurantes (011)",249,11,,97,103,11,20,5,2
"Trans., almac. y comunicaciones (012)",337,1,,59,185,25,42,8,17
"Intermediación financiera (013)",4,,,,,,1,,3
"Activid.inmobil., empres. y de alquiler (014)",130,,,10,48,12,29,7,24
"Admin.pub. y defensa; p. segur.soc.afil (015)",338,5,,82,71,26,94,13,47
"Enseñanza (016)",822,,,3,43,30,494,47,205
"Servicios sociales y de salud (017)",128,1,,3,5,6,50,6,57
"Otras activ. serv.comun.soc y personales (018)",120,8,,40,38,6,16,4,8
"Hogares privados con servicio doméstico (019)",167,12,1,98,47,4,5,,
"Actividad economica no especificada (021)",194,11,,83,50,12,20,2,16
"Hombres (022)",7235,325,5,3847,1865,176,617,103,297
"Agric., ganadería, caza y silvicultura (023)",4779,292,3,3238,1056,55,85,16,34
"Pesca (024)",5,,,1,4,,,,
"Explotación de minas y canteras (025)",47,,,10,21,3,4,1,8
"Industrias manufactureras (026)",227,4,,103,81,9,22,3,5
"Suministro de electricidad, gas y agua (027)",28,,,10,5,5,6,1,1
"Construcción (028)",393,12,1,141,153,11,43,9,23
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",424,7,1,136,175,16,54,16,19
"Venta, mant.y rep. veh.autom.y motoc. (030)",63,1,1,13,27,1,18,1,1
"Comercio al por mayor (031)",19,,,8,8,1,2,,
"Comercio al por menor (032)",342,6,,115,140,14,34,15,18
"Hoteles y restaurantes (033)",41,,,14,16,2,4,4,1
"Trans., almac. y comunicaciones (034)",318,1,,59,179,22,36,7,14
"Intermediación financiera (035)",1,,,,,,,,1
"Activid.inmobil., empres. y de alquiler (036)",101,,,6,38,10,22,5,20
"Admin.pub. y defensa; p. segur.soc.afil (037)",269,3,,78,61,18,68,9,32
"Enseñanza (038)",377,,,3,13,13,225,25,98
"Servicios sociales y de salud (039)",59,1,,2,3,3,25,4,21
"Otras activ. serv.comun.soc y personales (040)",62,1,,12,24,3,13,3,6
"Hogares privados con servicio doméstico (041)",2,,,2,,,,,
"Actividad economica no especificada (043)",102,4,,32,36,6,10,,14
"Mujeres (044)",1995,127,2,704,413,72,443,41,193
"Agric., ganadería, caza y silvicultura (045)",251,54,1,152,33,1,6,1,3
