"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TARMA (000)",42825,6798,6862,22137,1087,5322,619
"Agric., ganadería, caza y silvicultura (001)",20794,27,4127,11678,605,4357,
"Pesca (002)",4,,,3,,1,
"Explotación de minas y canteras (003)",328,42,264,13,9,,
"Industrias manufactureras (004)",2443,184,571,1464,103,121,
"Suministro de electricidad, gas y agua (005)",49,23,24,2,,,
"Construcción (006)",1369,61,864,402,18,24,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6648,969,228,4692,194,565,
"Venta, mant.y rep. veh.autom.y motoc. (008)",802,90,178,485,29,20,
"Comercio al por mayor (009)",298,92,13,153,13,27,
"Comercio al por menor (010)",5548,787,37,4054,152,518,
"Hoteles y restaurantes (011)",1455,452,73,808,52,70,
"Trans., almac. y comunicaciones (012)",2869,723,357,1703,50,36,
"Intermediación financiera (013)",114,112,,1,,1,
"Activid.inmobil., empres. y alquileres (014)",1013,671,70,245,18,9,
"Admin.pub. y defensa; p. segur.soc.afil (015)",663,562,101,,,,
"Enseñanza (016)",2017,1901,7,98,4,7,
"Servicios sociales y de salud (017)",653,563,13,74,1,2,
"Otras activ. serv.comun.soc y personales (018)",829,323,20,459,11,16,
"Hogares privados con servicio doméstico (019)",619,,,,,,619
"Actividad economica no especificada (021)",958,185,143,495,22,113,
"Hombres (022)",28699,3694,5558,15842,835,2733,37
"Agric., ganadería, caza y silvicultura (023)",15874,20,3094,9829,530,2401,
"Pesca (024)",4,,,3,,1,
"Explotación de minas y canteras (025)",317,37,260,13,7,,
"Industrias manufactureras (026)",1824,143,504,1030,76,71,
"Suministro de electricidad, gas y agua (027)",42,17,23,2,,,
"Construcción (028)",1321,57,835,389,17,23,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3037,471,218,2095,110,143,
"Venta, mant.y rep. veh.autom.y motoc. (030)",731,60,173,459,25,14,
"Comercio al por mayor (031)",158,52,11,78,7,10,
"Comercio al por menor (032)",2148,359,34,1558,78,119,
"Hoteles y restaurantes (033)",431,186,29,184,17,15,
"Trans., almac. y comunicaciones (034)",2704,609,348,1669,46,32,
"Intermediación financiera (035)",60,58,,1,,1,
"Activid.inmobil., empres. y alquileres (036)",728,469,59,180,13,7,
"Admin.pub. y defensa; p. segur.soc.afil (037)",455,388,67,,,,
"Enseñanza (038)",921,855,5,53,3,5,
"Servicios sociales y de salud (039)",198,142,8,47,1,,
"Otras activ. serv.comun.soc y personales (040)",393,171,14,193,7,8,
"Hogares privados con servicio doméstico (041)",37,,,,,,37
"Actividad economica no especificada (043)",353,71,94,154,8,26,
"Mujeres (044)",14126,3104,1304,6295,252,2589,582
"Agric., ganadería, caza y silvicultura (045)",4920,7,1033,1849,75,1956,
"Explotación de minas y canteras (047)",11,5,4,,2,,
"Industrias manufactureras (048)",619,41,67,434,27,50,
"Suministro de electricidad, gas y agua (049)",7,6,1,,,,
"Construcción (050)",48,4,29,13,1,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3611,498,10,2597,84,422,
"Venta, mant.y rep. veh.autom.y motoc. (052)",71,30,5,26,4,6,
"Comercio al por mayor (053)",140,40,2,75,6,17,
"Comercio al por menor (054)",3400,428,3,2496,74,399,
"Hoteles y restaurantes (055)",1024,266,44,624,35,55,
"Trans., almac. y comunicaciones (056)",165,114,9,34,4,4,
"Intermediación financiera (057)",54,54,,,,,
"Activid.inmobil., empres. y alquileres (058)",285,202,11,65,5,2,
"Admin.pub. y defensa; p. segur.soc.afil (059)",208,174,34,,,,
"Enseñanza (060)",1096,1046,2,45,1,2,
"Servicios sociales y de salud (061)",455,421,5,27,,2,
"Otras activ. serv.comun.soc y personales (062)",436,152,6,266,4,8,
"Hogares privados con servicio doméstico (063)",582,,,,,,582
"Actividad economica no especificada (065)",605,114,49,341,14,87,
,,,,,,,
"URBANA (066)",27818,6186,4194,13728,781,2412,517
"Agric., ganadería, caza y silvicultura (067)",8388,19,1883,4615,326,1545,
"Pesca (068)",1,,,,,1,
"Explotación de minas y canteras (069)",249,37,194,9,9,,
"Industrias manufactureras (070)",2178,146,456,1364,97,115,
"Suministro de electricidad, gas y agua (071)",46,22,22,2,,,
"Construcción (072)",1226,60,777,347,18,24,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",5974,890,212,4166,187,519,
"Venta, mant.y rep. veh.autom.y motoc. (074)",719,82,166,423,29,19,
"Comercio al por mayor (075)",268,85,12,133,13,25,
"Comercio al por menor (076)",4987,723,34,3610,145,475,
"Hoteles y restaurantes (077)",1340,413,58,752,50,67,
"Trans., almac. y comunicaciones (078)",2315,618,290,1334,42,31,
"Intermediación financiera (079)",109,107,,1,,1,
"Activid.inmobil., empres. y alquileres (080)",890,572,65,227,17,9,
"Admin.pub. y defensa; p. segur.soc.afil (081)",627,536,91,,,,
"Enseñanza (082)",1871,1759,7,94,4,7,
"Servicios sociales y de salud (083)",617,532,11,71,1,2,
"Otras activ. serv.comun.soc y personales (084)",767,309,18,414,10,16,
"Hogares privados con servicio doméstico (085)",517,,,,,,517
"Actividad economica no especificada (087)",703,166,110,332,20,75,
"Hombres (088)",17407,3265,3470,8980,563,1097,32
"Agric., ganadería, caza y silvicultura (089)",6217,13,1384,3748,274,798,
"Pesca (090)",1,,,,,1,
"Explotación de minas y canteras (091)",240,32,192,9,7,,
"Industrias manufactureras (092)",1605,106,406,954,72,67,
"Suministro de electricidad, gas y agua (093)",39,16,21,2,,,
"Construcción (094)",1181,56,751,334,17,23,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",2766,428,203,1901,106,128,
"Venta, mant.y rep. veh.autom.y motoc. (096)",658,53,162,404,25,14,
"Comercio al por mayor (097)",141,48,10,67,7,9,
"Comercio al por menor (098)",1967,327,31,1430,74,105,
"Hoteles y restaurantes (099)",396,167,20,178,17,14,
"Trans., almac. y comunicaciones (100)",2160,506,282,1306,39,27,
"Intermediación financiera (101)",58,56,,1,,1,
"Activid.inmobil., empres. y alquileres (102)",626,387,54,165,13,7,
"Admin.pub. y defensa; p. segur.soc.afil (103)",427,369,58,,,,
"Enseñanza (104)",840,778,5,49,3,5,
"Servicios sociales y de salud (105)",184,131,7,45,1,,
"Otras activ. serv.comun.soc y personales (106)",364,161,13,175,7,8,
"Hogares privados con servicio doméstico (107)",32,,,,,,32
"Actividad economica no especificada (109)",271,59,74,113,7,18,
"Mujeres (110)",10411,2921,724,4748,218,1315,485
"Agric., ganadería, caza y silvicultura (111)",2171,6,499,867,52,747,
"Explotación de minas y canteras (113)",9,5,2,,2,,
"Industrias manufactureras (114)",573,40,50,410,25,48,
"Suministro de electricidad, gas y agua (115)",7,6,1,,,,
"Construcción (116)",45,4,26,13,1,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",3208,462,9,2265,81,391,
"Venta, mant.y rep. veh.autom.y motoc. (118)",61,29,4,19,4,5,
