"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia SANCHEZ CARRION (000)",71182,50561,20621
"De 3 a 5 años (001)",11944,310,11634
"De 6 a 11 años (002)",22877,17236,5641
"De 12 a 16 años (003)",17893,16931,962
"De 17 a 24 años (004)",18468,16084,2384
"Hombres (005)",35367,25884,9483
"De 3 a 5 años (006)",6009,158,5851
"De 6 a 11 años (007)",11547,8747,2800
"De 12 a 16 años (008)",8895,8624,271
"De 17 a 24 años (009)",8916,8355,561
"Mujeres (010)",35815,24677,11138
"De 3 a 5 años (011)",5935,152,5783
"De 6 a 11 años (012)",11330,8489,2841
"De 12 a 16 años (013)",8998,8307,691
"De 17 a 24 años (014)",9552,7729,1823
,,,
"URBANA (015)",18634,15352,3282
"De 3 a 5 años (016)",2630,181,2449
"De 6 a 11 años (017)",5282,4752,530
"De 12 a 16 años (018)",5077,4980,97
"De 17 a 24 años (019)",5645,5439,206
"Hombres (020)",9161,7580,1581
"De 3 a 5 años (021)",1310,83,1227
"De 6 a 11 años (022)",2643,2365,278
"De 12 a 16 años (023)",2498,2464,34
"De 17 a 24 años (024)",2710,2668,42
"Mujeres (025)",9473,7772,1701
"De 3 a 5 años (026)",1320,98,1222
"De 6 a 11 años (027)",2639,2387,252
"De 12 a 16 años (028)",2579,2516,63
"De 17 a 24 años (029)",2935,2771,164
,,,
"RURAL (030)",52548,35209,17339
"De 3 a 5 años (031)",9314,129,9185
"De 6 a 11 años (032)",17595,12484,5111
"De 12 a 16 años (033)",12816,11951,865
"De 17 a 24 años (034)",12823,10645,2178
"Hombres (035)",26206,18304,7902
"De 3 a 5 años (036)",4699,75,4624
"De 6 a 11 años (037)",8904,6382,2522
"De 12 a 16 años (038)",6397,6160,237
"De 17 a 24 años (039)",6206,5687,519
"Mujeres (040)",26342,16905,9437
"De 3 a 5 años (041)",4615,54,4561
"De 6 a 11 años (042)",8691,6102,2589
"De 12 a 16 años (043)",6419,5791,628
"De 17 a 24 años (044)",6617,4958,1659
