"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHACHAPOYAS (000)",19480,401,6108,7047,4670,1254
"Agric., ganadería, caza y silvicultura (001)",7970,213,2510,2386,2037,824
"Pesca (002)",1,,1,,,
"Explotación de minas y canteras (003)",31,,18,6,6,1
"Industrias manufactureras (004)",799,12,265,260,186,76
"Suministro de electricidad, gas y agua (005)",48,,11,27,9,1
"Construcción (006)",1114,17,348,472,252,25
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2250,67,641,822,575,145
"Venta, mant.y rep. veh.autom.y motoc. (008)",218,2,87,88,35,6
"Comercio al por mayor (009)",158,4,53,70,30,1
"Comercio al por menor (010)",1874,61,501,664,510,138
"Hoteles y restaurantes (011)",621,20,234,187,154,26
"Trans., almac. y comunicaciones (012)",707,9,286,275,129,8
"Intermediación financiera (013)",70,,33,26,11,
"Activid.inmobil., empres. y alquileres (014)",497,2,174,205,108,8
"Admin.pub. y defensa; p. segur.soc afil (015)",1204,,280,568,336,20
"Enseñanza (016)",1590,,273,924,388,5
"Servicios sociales y de salud (017)",447,,107,243,92,5
"Otras activ. serv.comun.soc y personales (018)",448,6,146,175,99,22
"Hogares privados con servicio doméstico (019)",688,41,330,175,116,26
"Actividad economica no especificada (021)",324,,98,113,78,35
"Desocupado (022)",671,14,353,183,94,27
"Hombres (023)",12635,280,3990,4418,3086,861
"Agric., ganadería, caza y silvicultura (024)",6408,181,2056,1916,1604,651
"Pesca (025)",1,,1,,,
"Explotación de minas y canteras (026)",30,,18,6,5,1
"Industrias manufactureras (027)",539,3,199,174,120,43
"Suministro de electricidad, gas y agua (028)",41,,8,24,8,1
"Construcción (029)",1092,17,339,464,248,24
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1013,49,331,349,225,59
"Venta, mant.y rep. veh.autom.y motoc. (031)",202,2,82,80,32,6
"Comercio al por mayor (032)",99,1,40,39,18,1
"Comercio al por menor (033)",712,46,209,230,175,52
"Hoteles y restaurantes (034)",139,5,70,29,30,5
"Trans., almac. y comunicaciones (035)",626,8,235,251,124,8
"Intermediación financiera (036)",34,,12,15,7,
"Activid.inmobil., empres. y alquileres (037)",338,2,105,140,84,7
"Admin.pub. y defensa; p. segur.soc afil (038)",797,,172,360,246,19
"Enseñanza (039)",689,,107,386,194,2
"Servicios sociales y de salud (040)",169,,34,88,44,3
