"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia YAUYOS (000)",25093,15451,9642
"Casa independiente (001)",23502,14734,8768
"Departamento en edificio (002)",13,13,
"Vivienda en quinta (003)",103,103,
"Vivienda en casa de vecindad (004)",407,407,
"Choza o cabaña (005)",869,,869
"Vivienda improvisada (006)",146,146,
"Local no dest.para hab. humana (007)",24,20,4
"Otro tipo (008)",29,28,1
