"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHUPACA (000)",20652,52101,47143,,731,90.5,1.4
"De 12 a 14 años (001)",1860,5,4,,,80,
"De 15 a 19 años (002)",2527,274,269,76,98.2,27.7,
"De 20 a 24 años (003)",2254,1394,1353,181,97.1,13,
"De 25 a 29 años (004)",1843,2628,2549,159,97,6.1,
"De 30 a 34 años (005)",1756,3700,3554,154,96.1,4.2,
"De 35 a 39 años (006)",1776,5112,4874,111,95.3,2.2,
"De 40 a 44 años (007)",1606,5648,5313,42,94.1,0.7,
"De 45 a 49 años (008)",1352,5532,5161,8,93.3,0.1,
"De 50 y más años (009)",5678,27808,24066,,86.5,,
"PEA (010)",7855,22146,20352,246,91.9,1.1,
"De 12 a 14 años (011)",69,2,2,,100,,
"De 15 a 19 años (012)",378,74,74,15,100,20.3,
"De 20 a 24 años (013)",840,520,506,49,97.3,9.4,
"De 25 a 29 años (014)",883,1139,1107,52,97.2,4.6,
"De 30 a 34 años (015)",881,1708,1636,66,95.8,3.9,
"De 35 a 39 años (016)",948,2529,2431,45,96.1,1.8,
"De 40 a 44 años (017)",867,2875,2700,17,93.9,0.6,
"De 45 a 49 años (018)",761,2837,2693,2,94.9,0.1,
"De 50 y más años (019)",2228,10462,9203,,88,,
"Ocupada (020)",7639,21854,20085,237,91.9,1.1,
"De 12 a 14 años (021)",65,2,2,,100,,
"De 15 a 19 años (022)",359,71,71,15,100,21.1,
"De 20 a 24 años (023)",782,503,489,46,97.2,9.1,
"De 25 a 29 años (024)",838,1105,1073,50,97.1,4.5,
"De 30 a 34 años (025)",848,1673,1602,65,95.8,3.9,
"De 35 a 39 años (026)",926,2475,2378,42,96.1,1.7,
"De 40 a 44 años (027)",859,2851,2676,17,93.9,0.6,
"De 45 a 49 años (028)",754,2810,2667,2,94.9,0.1,
"De 50 y más años (029)",2208,10364,9127,,88.1,,
"Desocupada (030)",216,292,267,9,91.4,3.1,
"De 12 a 14 años (031)",4,,,,,,
"De 15 a 19 años (032)",19,3,3,,100,,
"De 20 a 24 años (033)",58,17,17,3,100,17.6,
"De 25 a 29 años (034)",45,34,34,2,100,5.9,
"De 30 a 34 años (035)",33,35,34,1,97.1,2.9,
"De 35 a 39 años (036)",22,54,53,3,98.1,5.6,
