"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia DOS DE MAYO (000)",12649,1415,2975,5080,323,2004,161,691
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,33,,,,,,
"Profes., científicos e intelectuales (002)",921,894,,26,,1,,
"Técnicos de nivel medio y trab. asimilados (003)",187,133,,46,6,2,,
"Jefes y empleados de oficina (004)",142,139,,2,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",760,47,6,598,12,97,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3919,1,,3642,276,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",359,,101,222,18,18,,
"Obreros construc.,conf.,papel, fab., instr. (008)",353,30,141,169,9,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",4976,78,2667,257,,1813,161,
"Otra (010)",28,28,,,,,,
"Ocupación no especificada (011)",280,32,60,118,2,68,,
"Desocupado (012)",691,,,,,,,691
"Hombres (013)",9420,807,2787,3980,266,1038,24,518
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",30,30,,,,,,
"Profes., científicos e intelectuales (015)",496,477,,19,,,,
"Técnicos de nivel medio y trab. asimilados (016)",123,79,,39,3,2,,
"Jefes y empleados de oficina (017)",77,75,,2,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",294,29,3,237,6,19,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3421,1,,3190,230,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",317,,98,187,18,14,,
"Obreros construc.,conf.,papel, fab., instr. (021)",353,30,141,169,9,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",3648,49,2500,105,,970,24,
"Otra (023)",28,28,,,,,,
"Ocupación no especificada (024)",115,9,45,32,,29,,
"Desocupado (025)",518,,,,,,,518
"Mujeres (026)",3229,608,188,1100,57,966,137,173
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,3,,,,,,
"Profes., científicos e intelectuales (028)",425,417,,7,,1,,
"Técnicos de nivel medio y trab. asimilados (029)",64,54,,7,3,,,
"Jefes y empleados de oficina (030)",65,64,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",466,18,3,361,6,78,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",498,,,452,46,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",42,,3,35,,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",1328,29,167,152,,843,137,
"Ocupación no especificada (037)",165,23,15,86,2,39,,
"Desocupado (038)",173,,,,,,,173
,,,,,,,,
"URBANA (039)",4901,1202,752,2084,50,405,102,306
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",27,27,,,,,,
"Profes., científicos e intelectuales (041)",799,775,,23,,1,,
"Técnicos de nivel medio y trab. asimilados (042)",169,118,,45,4,2,,
"Jefes y empleados de oficina (043)",123,120,,2,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",650,40,4,513,7,86,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",953,1,,932,20,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",282,,78,177,14,13,,
"Obreros construc.,conf.,papel, fab., instr. (047)",259,26,89,136,5,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",1221,58,570,204,,287,102,
"Otra (049)",28,28,,,,,,
"Ocupación no especificada (050)",84,9,11,52,,12,,
"Desocupado (051)",306,,,,,,,306
"Hombres (052)",3351,676,696,1473,40,223,13,230
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",25,25,,,,,,
"Profes., científicos e intelectuales (054)",420,403,,17,,,,
"Técnicos de nivel medio y trab. asimilados (055)",108,67,,38,1,2,,
"Jefes y empleados de oficina (056)",66,64,,2,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",232,24,2,188,2,16,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",867,1,,848,18,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",257,,76,156,14,11,,
"Obreros construc.,conf.,papel, fab., instr. (060)",259,26,89,136,5,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",839,36,525,77,,188,13,
"Otra (062)",28,28,,,,,,
"Ocupación no especificada (063)",20,2,4,11,,3,,
"Desocupado (064)",230,,,,,,,230
"Mujeres (065)",1550,526,56,611,10,182,89,76
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",2,2,,,,,,
"Profes., científicos e intelectuales (067)",379,372,,6,,1,,
"Técnicos de nivel medio y trab. asimilados (068)",61,51,,7,3,,,
"Jefes y empleados de oficina (069)",57,56,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",418,16,2,325,5,70,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",86,,,84,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",25,,2,21,,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",382,22,45,127,,99,89,
"Ocupación no especificada (076)",64,7,7,41,,9,,
"Desocupado (077)",76,,,,,,,76
,,,,,,,,
"RURAL (078)",7748,213,2223,2996,273,1599,59,385
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",6,6,,,,,,
"Profes., científicos e intelectuales (080)",122,119,,3,,,,
"Técnicos de nivel medio y trab. asimilados (081)",18,15,,1,2,,,
"Jefes y empleados de oficina (082)",19,19,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",110,7,2,85,5,11,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",2966,,,2710,256,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",77,,23,45,4,5,,
"Obreros construc.,conf.,papel, fab., instr. (086)",94,4,52,33,4,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",3755,20,2097,53,,1526,59,
"Ocupación no especificada (089)",196,23,49,66,2,56,,
"Desocupado (090)",385,,,,,,,385
"Hombres (091)",6069,131,2091,2507,226,815,11,288
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",5,5,,,,,,
"Profes., científicos e intelectuales (093)",76,74,,2,,,,
"Técnicos de nivel medio y trab. asimilados (094)",15,12,,1,2,,,
"Jefes y empleados de oficina (095)",11,11,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",62,5,1,49,4,3,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",2554,,,2342,212,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",60,,22,31,4,3,,
"Obreros construc.,conf.,papel, fab., instr. (099)",94,4,52,33,4,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (100)",2809,13,1975,28,,782,11,
"Ocupación no especificada (102)",95,7,41,21,,26,,
