"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PICOTA (000)",9582,9271,45,1867,1838,1566,1971,1141,599,244,311,33924
"De 12 a 14 años (001)",22,10,,10,,,,,,,12,10
"De 15 a 19 años (002)",580,514,12,424,70,7,1,,,,66,589
"De 20 a 24 años (003)",1230,1143,9,650,348,114,22,,,,87,1781
"De 25 a 29 años (004)",1375,1324,5,363,520,288,138,9,1,,51,2915
"De 30 a 34 años (005)",1192,1164,4,176,369,302,262,46,4,1,28,3293
"De 35 a 39 años (006)",1160,1144,3,90,203,326,356,141,20,5,16,4125
"De 40 a 44 años (007)",1042,1032,4,51,147,224,359,180,52,15,10,4333
"De 45 a 49 años (008)",723,717,1,26,76,123,233,169,72,17,6,3435
"De 50 y más años (009)",2258,2223,7,77,105,182,600,596,450,206,35,13443
"Conviviente (010)",4255,4120,29,1177,1019,726,690,303,136,40,135,11908
"De 12 a 14 años (011)",18,8,,8,,,,,,,10,8
"De 15 a 19 años (012)",428,367,10,299,53,5,,,,,61,420
"De 20 a 24 años (013)",871,833,7,465,266,81,14,,,,38,1299
"De 25 a 29 años (014)",869,856,4,224,346,193,83,6,,,13,1883
"De 30 a 34 años (015)",638,632,2,102,183,172,144,25,3,1,6,1800
"De 35 a 39 años (016)",490,489,1,37,80,136,158,68,7,2,1,1790
"De 40 a 44 años (017)",371,369,3,19,48,78,127,63,25,6,2,1582
"De 45 a 49 años (018)",215,214,,4,19,32,66,53,37,3,1,1114
"De 50 y más años (019)",355,352,2,19,24,29,98,88,64,28,3,2012
"Separado(a) (020)",240,234,,60,49,42,46,28,6,3,6,752
"De 15 a 19 años (022)",25,24,,20,4,,,,,,1,28
"De 20 a 24 años (023)",32,31,,19,11,1,,,,,1,44
