"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN MARCOS (000)",824,319,505
"Sin nivel (001)",65,13,52
"Educación inicial (002)",1,1,
"Primaria (003)",521,231,290
"Secundaria (004)",164,60,104
"Superior no univ. incompleta (005)",14,3,11
"Superior no univ. completa (006)",44,10,34
"Superior univ. incompleta (007)",2,,2
"Superior univ. completa (008)",13,1,12
"Hombres (010)",645,210,435
"Sin nivel (011)",52,8,44
"Primaria (013)",406,146,260
"Secundaria (014)",139,48,91
"Superior no univ. incompleta (015)",11,3,8
"Superior no univ. completa (016)",26,5,21
"Superior univ. incompleta (017)",2,,2
"Superior univ. completa (018)",9,,9
"Mujeres (020)",179,109,70
"Sin nivel (021)",13,5,8
"Educación inicial (022)",1,1,
"Primaria (023)",115,85,30
"Secundaria (024)",25,12,13
"Superior no univ. incompleta (025)",3,,3
"Superior no univ. completa (026)",18,5,13
"Superior univ. completa (028)",4,1,3
,,,
"AREA URBANA (030)",176,48,128
"Sin nivel (031)",11,2,9
"Primaria (033)",46,13,33
"Secundaria (034)",59,22,37
"Superior no univ. incompleta (035)",11,3,8
"Superior no univ. completa (036)",36,7,29
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",11,1,10
"Hombres (040)",128,33,95
"Sin nivel (041)",6,1,5
"Primaria (043)",34,9,25
"Secundaria (044)",50,17,33
"Superior no univ. incompleta (045)",9,3,6
"Superior no univ. completa (046)",20,3,17
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",7,,7
"Mujeres (050)",48,15,33
"Sin nivel (051)",5,1,4
"Primaria (053)",12,4,8
"Secundaria (054)",9,5,4
"Superior no univ. incompleta (055)",2,,2
"Superior no univ. completa (056)",16,4,12
"Superior univ. completa (058)",4,1,3
,,,
"AREA RURAL (060)",648,271,377
"Sin nivel (061)",54,11,43
"Educación inicial (062)",1,1,
"Primaria (063)",475,218,257
"Secundaria (064)",105,38,67
"Superior no univ. incompleta (065)",3,,3
"Superior no univ. completa (066)",8,3,5
"Superior univ. completa (068)",2,,2
"Hombres (070)",517,177,340
"Sin nivel (071)",46,7,39
"Primaria (073)",372,137,235
"Secundaria (074)",89,31,58
"Superior no univ. incompleta (075)",2,,2
"Superior no univ. completa (076)",6,2,4
"Superior univ. completa (078)",2,,2
"Mujeres (080)",131,94,37
"Sin nivel (081)",8,4,4
"Educación inicial (082)",1,1,
"Primaria (083)",103,81,22
"Secundaria (084)",16,7,9
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",2,1,1
