"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",4453,736,916,2134,37,565,65
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",13,12,,,1,,
"Profes., científicos e intelectuales (002)",501,481,,19,,1,
"Técnicos de nivel medio y trab. asimilados (003)",46,33,,12,,1,
"Jefes y empleados de oficina (004)",125,124,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",257,15,5,203,2,32,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",1603,,,1577,26,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",91,,19,65,,7,
"Obreros construc.,conf., papel, fab., instr. (008)",147,8,70,61,3,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",1413,44,795,49,4,456,65
"Otra (010)",5,5,,,,,
"Ocupación no especificada (011)",252,14,27,148,1,62,
"Hombres (012)",3541,509,828,1799,35,367,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",10,9,,,1,,
"Profes., científicos e intelectuales (014)",353,335,,17,,1,
"Técnicos de nivel medio y trab. asimilados (015)",28,21,,7,,,
"Jefes y empleados de oficina (016)",92,91,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",89,4,,79,1,5,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",1538,,,1512,26,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",76,,17,54,,5,
"Obreros construc.,conf., papel, fab., instr. (020)",144,8,68,60,3,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",1104,28,723,17,3,330,3
"Otra (022)",5,5,,,,,
"Ocupación no especificada (023)",102,8,20,53,1,20,
"Mujeres (024)",912,227,88,335,2,198,62
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,3,,,,,
"Profes., científicos e intelectuales (026)",148,146,,2,,,
"Técnicos de nivel medio y trab. asimilados (027)",18,12,,5,,1,
"Jefes y empleados de oficina (028)",33,33,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",168,11,5,124,1,27,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",65,,,65,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",15,,2,11,,2,
"Obreros construc.,conf., papel, fab., instr. (032)",3,,2,1,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",309,16,72,32,1,126,62
"Ocupación no especificada (035)",150,6,7,95,,42,
,,,,,,,
"URBANA (036)",980,379,146,351,7,70,27
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",6,6,,,,,
"Profes., científicos e intelectuales (038)",246,235,,10,,1,
"Técnicos de nivel medio y trab. asimilados (039)",33,23,,9,,1,
"Jefes y empleados de oficina (040)",68,67,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",159,8,2,130,1,18,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",104,,,103,1,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",47,,10,33,,4,
"Obreros construc.,conf., papel, fab., instr. (044)",58,5,25,26,2,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",211,22,104,21,3,34,27
"Otra (046)",5,5,,,,,
"Ocupación no especificada (047)",43,8,5,19,,11,
"Hombres (048)",642,244,134,221,6,35,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",4,4,,,,,
"Profes., científicos e intelectuales (050)",167,158,,8,,1,
"Técnicos de nivel medio y trab. asimilados (051)",17,12,,5,,,
"Jefes y empleados de oficina (052)",43,42,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",46,2,,42,1,1,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",97,,,96,1,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",41,,10,28,,3,
"Obreros construc.,conf., papel, fab., instr. (056)",58,5,25,26,2,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",147,13,96,8,2,26,2
"Otra (058)",5,5,,,,,
"Ocupación no especificada (059)",17,3,3,8,,3,
"Mujeres (060)",338,135,12,130,1,35,25
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",79,77,,2,,,
"Técnicos de nivel medio y trab. asimilados (063)",16,11,,4,,1,
"Jefes y empleados de oficina (064)",25,25,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",113,6,2,88,,17,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",7,,,7,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",6,,,5,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",64,9,8,13,1,8,25
"Ocupación no especificada (071)",26,5,2,11,,8,
,,,,,,,
"RURAL (072)",3473,357,770,1783,30,495,38
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",7,6,,,1,,
"Profes., científicos e intelectuales (074)",255,246,,9,,,
"Técnicos de nivel medio y trab. asimilados (075)",13,10,,3,,,
"Jefes y empleados de oficina (076)",57,57,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",98,7,3,73,1,14,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",1499,,,1474,25,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",44,,9,32,,3,
"Obreros construc.,conf., papel, fab., instr. (080)",89,3,45,35,1,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",1202,22,691,28,1,422,38
"Ocupación no especificada (083)",209,6,22,129,1,51,
"Hombres (084)",2899,265,694,1578,29,332,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",6,5,,,1,,
"Profes., científicos e intelectuales (086)",186,177,,9,,,
"Técnicos de nivel medio y trab. asimilados (087)",11,9,,2,,,
"Jefes y empleados de oficina (088)",49,49,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",43,2,,37,,4,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",1441,,,1416,25,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",35,,7,26,,2,
"Obreros construc.,conf., papel, fab., instr. (092)",86,3,43,34,1,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",957,15,627,9,1,304,1
"Ocupación no especificada (095)",85,5,17,45,1,17,
"Mujeres (096)",574,92,76,205,1,163,37
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",69,69,,,,,
"Técnicos de nivel medio y trab. asimilados (099)",2,1,,1,,,
"Jefes y empleados de oficina (100)",8,8,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",55,5,3,36,1,10,
"Agricult.trabaj. calif.agrop. y pesqueros (102)",58,,,58,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (103)",9,,2,6,,1,
