"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PACASMAYO (000)",33298,394,10172,12144,9099,1489
"Agric., ganadería, caza y silvicultura (001)",10020,161,2953,3339,2919,648
"Pesca (002)",298,2,67,112,109,8
"Explotación de minas y canteras (003)",62,,19,30,13,
"Industrias manufactureras (004)",2415,27,826,897,583,82
"Suministro de electricidad, gas y agua (005)",62,,14,37,10,1
"Construcción (006)",2083,14,647,786,566,70
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5374,85,1413,1943,1640,293
"Venta, mant.y rep. veh.autom.y motoc. (008)",716,4,284,238,168,22
"Comercio al por mayor (009)",252,1,83,94,62,12
"Comercio al por menor (010)",4406,80,1046,1611,1410,259
"Hoteles y restaurantes (011)",1125,16,326,390,342,51
"Trans., almac. y comunicaciones (012)",3039,12,1089,1184,690,64
"Intermediación financiera (013)",98,,54,27,17,
"Activid.inmobil., empres. y alquileres (014)",1210,1,426,487,268,28
"Admin.pub. y defensa; p. segur.soc afil (015)",718,,110,329,256,23
"Enseñanza (016)",1850,,276,997,547,30
"Servicios sociales y de salud (017)",430,,83,180,161,6
"Otras activ. serv.comun.soc y personales (018)",740,7,224,276,191,42
"Hogares privados con servicio doméstico (019)",876,25,379,296,159,17
"Actividad economica no especificada (021)",1102,6,356,377,296,67
"Desocupado (022)",1796,38,910,457,332,59
"Hombres (023)",24085,278,7368,8536,6727,1176
"Agric., ganadería, caza y silvicultura (024)",8576,127,2499,2804,2553,593
"Pesca (025)",291,2,66,108,108,7
"Explotación de minas y canteras (026)",61,,18,30,13,
"Industrias manufactureras (027)",2071,22,721,771,487,70
"Suministro de electricidad, gas y agua (028)",57,,10,36,10,1
"Construcción (029)",2048,14,634,771,560,69
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",2901,56,818,1002,863,162
"Venta, mant.y rep. veh.autom.y motoc. (031)",653,4,251,214,162,22
"Comercio al por mayor (032)",159,1,54,60,38,6
"Comercio al por menor (033)",2089,51,513,728,663,134
"Hoteles y restaurantes (034)",354,5,119,108,103,19
"Trans., almac. y comunicaciones (035)",2877,11,1012,1128,665,61
"Intermediación financiera (036)",53,,22,17,14,
"Activid.inmobil., empres. y alquileres (037)",882,1,276,365,214,26
"Admin.pub. y defensa; p. segur.soc afil (038)",524,,56,243,207,18
"Enseñanza (039)",714,,83,365,250,16
"Servicios sociales y de salud (040)",156,,21,68,62,5
