"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia HUARMEY (000)",27820,27574,143,103
"Hombres (001)",14476,14367,55,54
"Mujeres (002)",13344,13207,88,49
"Menores de 1 año (003)",450,373,48,29
"Hombres (004)",224,190,21,13
"Mujeres (005)",226,183,27,16
"De 1 a 5 años (006)",2703,2585,54,64
"Hombres (007)",1448,1387,25,36
"Mujeres (008)",1255,1198,29,28
"De 6 a 14 años (009)",5318,5314,,4
"Hombres (010)",2730,2728,,2
"Mujeres (011)",2588,2586,,2
"De 15 a 29 años (012)",7116,7113,3,
"Hombres (013)",3701,3701,,
"Mujeres (014)",3415,3412,3,
"De 30 a 44 años (015)",5884,5879,4,1
"Hombres (016)",3026,3025,1,
"Mujeres (017)",2858,2854,3,1
"De 45 a 64 años (018)",4181,4175,4,2
"Hombres (019)",2210,2208,1,1
"Mujeres (020)",1971,1967,3,1
"De 65 a más años (021)",2168,2135,30,3
"Hombres (022)",1137,1128,7,2
"Mujeres (023)",1031,1007,23,1
,,,,
"URBANA (024)",21100,20930,107,63
"Hombres (025)",10773,10695,44,34
"Mujeres (026)",10327,10235,63,29
"Menores de 1 año (027)",334,282,35,17
"Hombres (028)",164,142,15,7
"Mujeres (029)",170,140,20,10
"De 1 a 5 años (030)",1966,1879,46,41
"Hombres (031)",1035,988,22,25
"Mujeres (032)",931,891,24,16
"De 6 a 14 años (033)",4005,4001,,4
"Hombres (034)",2032,2030,,2
"Mujeres (035)",1973,1971,,2
"De 15 a 29 años (036)",5326,5323,3,
"Hombres (037)",2709,2709,,
"Mujeres (038)",2617,2614,3,
"De 30 a 44 años (039)",4626,4622,3,1
"Hombres (040)",2336,2335,1,
"Mujeres (041)",2290,2287,2,1
"De 45 a 64 años (042)",3182,3181,1,
"Hombres (043)",1637,1637,,
"Mujeres (044)",1545,1544,1,
"De 65 a más años (045)",1661,1642,19,
"Hombres (046)",860,854,6,
"Mujeres (047)",801,788,13,
,,,,
"RURAL (048)",6720,6644,36,40
"Hombres (049)",3703,3672,11,20
"Mujeres (050)",3017,2972,25,20
"Menores de 1 año (051)",116,91,13,12
"Hombres (052)",60,48,6,6
"Mujeres (053)",56,43,7,6
"De 1 a 5 años (054)",737,706,8,23
"Hombres (055)",413,399,3,11
"Mujeres (056)",324,307,5,12
"De 6 a 14 años (057)",1313,1313,,
"Hombres (058)",698,698,,
"Mujeres (059)",615,615,,
"De 15 a 29 años (060)",1790,1790,,
"Hombres (061)",992,992,,
"Mujeres (062)",798,798,,
"De 30 a 44 años (063)",1258,1257,1,
"Hombres (064)",690,690,,
"Mujeres (065)",568,567,1,
"De 45 a 64 años (066)",999,994,3,2
"Hombres (067)",573,571,1,1
"Mujeres (068)",426,423,2,1
"De 65 a más años (069)",507,493,11,3
"Hombres (070)",277,274,1,2
"Mujeres (071)",230,219,10,1
