"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia TACNA (000)",113095,293,13276,6717,6336,25195,5971,9938,13502,27672,1473,2722
"Agric., ganadería, caza y silvicultura (001)",11885,1,93,84,11,,5823,1,25,5847,,
"Pesca (002)",557,2,27,2,7,,148,,3,368,,
"Explotación de minas y canteras (003)",291,,77,25,19,1,,114,30,25,,
"Industrias manufactureras (004)",7200,15,168,287,132,117,,5735,556,190,,
"Suministro de electricidad, gas y agua (005)",348,3,55,63,56,,,70,47,54,,
"Construcción (006)",8174,7,316,277,33,,,574,4774,2193,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",32255,50,264,1110,324,19541,,3260,200,7506,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",4464,12,78,170,89,1024,,2832,149,110,,
"Comercio al por mayor (009)",1582,18,50,295,93,1012,,4,24,86,,
"Comercio al por menor (010)",26209,20,136,645,142,17505,,424,27,7310,,
"Hoteles y restaurantes (011)",7581,6,46,309,331,3677,,,,3212,,
"Trans., almac. y comunicaciones (012)",10936,27,136,524,740,55,,58,7454,1942,,
"Intermediación financiera (013)",780,11,86,169,472,,,,1,41,,
"Activid.inmobil., empres. y alquileres (014)",5690,7,2046,1464,643,840,,45,118,527,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",6203,69,838,470,2162,228,,38,251,674,1473,
"Enseñanza (016)",7933,86,7245,109,333,,,,1,159,,
"Servicios sociales y de salud (017)",2997,1,1571,884,214,120,,25,19,163,,
"Otras activ. serv.comun.soc y personales (018)",3178,8,184,746,193,610,,17,21,1399,,
"Hogares privados con servicio doméstico (019)",3370,,,6,,6,,,,3358,,
"Organiz. y organos extraterritoriales (020)",4,,2,1,1,,,,,,,
"Actividad economica no especificada (021)",3713,,122,187,665,,,1,2,14,,2722
"Hombres (022)",64669,198,6203,4160,2928,9719,4399,8351,13076,12855,1358,1422
"Agric., ganadería, caza y silvicultura (023)",7856,1,79,70,8,,4261,1,24,3412,,
"Pesca (024)",501,2,16,2,3,,138,,2,338,,
"Explotación de minas y canteras (025)",270,,70,22,13,1,,110,30,24,,
"Industrias manufactureras (026)",5169,13,111,193,55,41,,4262,381,113,,
"Suministro de electricidad, gas y agua (027)",291,3,45,53,27,,,69,46,48,,
"Construcción (028)",7916,7,281,243,24,,,562,4695,2104,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",14387,37,158,724,124,7238,,3185,197,2724,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",3991,10,60,129,32,744,,2775,149,92,,
"Comercio al por mayor (031)",846,13,23,171,47,499,,4,23,66,,
"Comercio al por menor (032)",9550,14,75,424,45,5995,,406,25,2566,,
"Hoteles y restaurantes (033)",2392,4,26,163,168,1238,,,,793,,
"Trans., almac. y comunicaciones (034)",9760,18,83,353,434,17,,55,7305,1495,,
"Intermediación financiera (035)",401,10,53,82,231,,,,1,24,,
"Activid.inmobil., empres. y alquileres (036)",3861,5,1323,988,313,811,,42,108,271,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",4349,46,534,302,1117,202,,36,247,507,1358,
"Enseñanza (038)",2948,46,2614,56,105,,,,1,126,,
"Servicios sociales y de salud (039)",998,1,601,224,70,19,,16,18,49,,
"Otras activ. serv.comun.soc y personales (040)",1671,5,132,578,81,152,,12,19,692,,
"Hogares privados con servicio doméstico (041)",125,,,,,,,,,125,,
"Organiz. y organos extraterritoriales (042)",2,,1,,1,,,,,,,
"Actividad economica no especificada (043)",1772,,76,107,154,,,1,2,10,,1422
"Mujeres (044)",48426,95,7073,2557,3408,15476,1572,1587,426,14817,115,1300
"Agric., ganadería, caza y silvicultura (045)",4029,,14,14,3,,1562,,1,2435,,
"Pesca (046)",56,,11,,4,,10,,1,30,,
"Explotación de minas y canteras (047)",21,,7,3,6,,,4,,1,,
"Industrias manufactureras (048)",2031,2,57,94,77,76,,1473,175,77,,
"Suministro de electricidad, gas y agua (049)",57,,10,10,29,,,1,1,6,,
"Construcción (050)",258,,35,34,9,,,12,79,89,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",17868,13,106,386,200,12303,,75,3,4782,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",473,2,18,41,57,280,,57,,18,,
"Comercio al por mayor (053)",736,5,27,124,46,513,,,1,20,,
"Comercio al por menor (054)",16659,6,61,221,97,11510,,18,2,4744,,
"Hoteles y restaurantes (055)",5189,2,20,146,163,2439,,,,2419,,
"Trans., almac. y comunicaciones (056)",1176,9,53,171,306,38,,3,149,447,,
"Intermediación financiera (057)",379,1,33,87,241,,,,,17,,
"Activid.inmobil., empres. y alquileres (058)",1829,2,723,476,330,29,,3,10,256,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",1854,23,304,168,1045,26,,2,4,167,115,
"Enseñanza (060)",4985,40,4631,53,228,,,,,33,,
"Servicios sociales y de salud (061)",1999,,970,660,144,101,,9,1,114,,
"Otras activ. serv.comun.soc y personales (062)",1507,3,52,168,112,458,,5,2,707,,
