"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LAMPA (000)",45714,1939,4884,5580,4832,8339,6267,9970,3903
"Sabe leer y escribir (001)",38837,,3799,5550,4789,8235,6084,8451,1929
"No sabe leer y escribir (002)",6877,1939,1085,30,43,104,183,1519,1974
"Hombres (004)",22750,951,2463,2843,2400,4304,3137,4826,1826
"Sabe leer y escribir (005)",20476,,1916,2824,2385,4267,3087,4608,1389
"No sabe leer y escribir (006)",2274,951,547,19,15,37,50,218,437
"Mujeres (008)",22964,988,2421,2737,2432,4035,3130,5144,2077
"Sabe leer y escribir (009)",18361,,1883,2726,2404,3968,2997,3843,540
"No sabe leer y escribir (010)",4603,988,538,11,28,67,133,1301,1537
,,,,,,,,,
"URBANA (012)",17597,725,1901,2165,2125,3492,2547,3497,1145
"Sabe leer y escribir (013)",15446,,1496,2157,2116,3470,2490,3100,617
"No sabe leer y escribir (014)",2151,725,405,8,9,22,57,397,528
"Hombres (016)",8649,358,968,1067,1065,1727,1218,1731,515
"Sabe leer y escribir (017)",7902,,760,1062,1062,1717,1207,1676,418
"No sabe leer y escribir (018)",747,358,208,5,3,10,11,55,97
"Mujeres (020)",8948,367,933,1098,1060,1765,1329,1766,630
"Sabe leer y escribir (021)",7544,,736,1095,1054,1753,1283,1424,199
"No sabe leer y escribir (022)",1404,367,197,3,6,12,46,342,431
,,,,,,,,,
"RURAL (024)",28117,1214,2983,3415,2707,4847,3720,6473,2758
"Sabe leer y escribir (025)",23391,,2303,3393,2673,4765,3594,5351,1312
"No sabe leer y escribir (026)",4726,1214,680,22,34,82,126,1122,1446
"Hombres (028)",14101,593,1495,1776,1335,2577,1919,3095,1311
"Sabe leer y escribir (029)",12574,,1156,1762,1323,2550,1880,2932,971
"No sabe leer y escribir (030)",1527,593,339,14,12,27,39,163,340
"Mujeres (032)",14016,621,1488,1639,1372,2270,1801,3378,1447
"Sabe leer y escribir (033)",10817,,1147,1631,1350,2215,1714,2419,341
"No sabe leer y escribir (034)",3199,621,341,8,22,55,87,959,1106
