"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARAVELI (000)",16677,10957,2378,1365,1977
"Agric., ganadería, caza y silvicultura (001)",3113,2727,276,91,19
"Pesca (002)",918,814,74,15,15
"Explotación de minas y canteras (003)",5422,2320,1280,646,1176
"Industrias manufactureras (004)",421,295,43,45,38
"Suministro de electricidad, gas y agua (005)",46,20,7,18,1
"Construcción (006)",657,426,113,51,67
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1989,1854,100,21,14
"Venta, mant.y rep. veh.autom y motoc. (008)",192,159,21,3,9
"Comercio al por mayor (009)",113,85,15,8,5
"Comercio al por menor (010)",1684,1610,64,10,
"Hoteles y restaurantes (011)",953,794,108,36,15
"Trans., almac. y comunicaciones (012)",860,669,83,65,43
"Intermediación financiera (013)",15,11,,2,2
"Activid.inmobil., empres. y alquileres (014)",350,158,54,77,61
"Admin.pub. y defensa; p. segur soc.afil (015)",390,,,,390
"Enseñanza (016)",527,131,144,245,7
"Servicios sociales y de salud (017)",144,32,11,6,95
"Otras activ. serv.comun.soc y personales (018)",332,250,32,30,20
"Hogares privados con servicio doméstico (019)",238,238,,,
"Actividad economica no especificada (021)",302,218,53,17,14
"Hombres (022)",12594,7836,1963,1068,1727
"Agric., ganadería, caza y silvicultura (023)",2628,2351,204,63,10
"Pesca (024)",854,755,72,13,14
"Explotación de minas y canteras (025)",5098,2142,1226,601,1129
"Industrias manufactureras (026)",332,232,40,31,29
"Suministro de electricidad, gas y agua (027)",42,19,6,16,1
"Construcción (028)",647,421,109,50,67
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",839,762,51,14,12
"Venta, mant.y rep. veh.autom y motoc. (030)",175,145,19,3,8
"Comercio al por mayor (031)",69,48,10,7,4
"Comercio al por menor (032)",595,569,22,4,
"Hoteles y restaurantes (033)",182,157,8,10,7
"Trans., almac. y comunicaciones (034)",803,620,79,62,42
"Intermediación financiera (035)",7,6,,1,
"Activid.inmobil., empres. y alquileres (036)",281,110,43,70,58
"Admin.pub. y defensa; p. segur soc.afil (037)",290,,,,290
"Enseñanza (038)",191,28,58,100,5
"Servicios sociales y de salud (039)",54,14,3,5,32
"Otras activ. serv.comun.soc y personales (040)",173,111,24,21,17
"Hogares privados con servicio doméstico (041)",21,21,,,
