"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia LA CONVENCION (000)",78084,64639,13445
"De 3 a 5 años (001)",11656,1195,10461
"De 6 a 11 años (002)",23850,21789,2061
"De 12 a 16 años (003)",19184,18942,242
"De 17 a 24 años (004)",23394,22713,681
"Hombres (005)",40590,33842,6748
"De 3 a 5 años (006)",5941,610,5331
"De 6 a 11 años (007)",12100,11054,1046
"De 12 a 16 años (008)",10001,9890,111
"De 17 a 24 años (009)",12548,12288,260
"Mujeres (010)",37494,30797,6697
"De 3 a 5 años (011)",5715,585,5130
"De 6 a 11 años (012)",11750,10735,1015
"De 12 a 16 años (013)",9183,9052,131
"De 17 a 24 años (014)",10846,10425,421
,,,
"URBANA (015)",23474,20534,2940
"De 3 a 5 años (016)",2910,411,2499
"De 6 a 11 años (017)",6690,6332,358
"De 12 a 16 años (018)",6487,6456,31
"De 17 a 24 años (019)",7387,7335,52
"Hombres (020)",11799,10278,1521
"De 3 a 5 años (021)",1504,214,1290
"De 6 a 11 años (022)",3373,3183,190
"De 12 a 16 años (023)",3224,3207,17
"De 17 a 24 años (024)",3698,3674,24
"Mujeres (025)",11675,10256,1419
"De 3 a 5 años (026)",1406,197,1209
"De 6 a 11 años (027)",3317,3149,168
"De 12 a 16 años (028)",3263,3249,14
"De 17 a 24 años (029)",3689,3661,28
,,,
"RURAL (030)",54610,44105,10505
"De 3 a 5 años (031)",8746,784,7962
"De 6 a 11 años (032)",17160,15457,1703
"De 12 a 16 años (033)",12697,12486,211
"De 17 a 24 años (034)",16007,15378,629
"Hombres (035)",28791,23564,5227
"De 3 a 5 años (036)",4437,396,4041
"De 6 a 11 años (037)",8727,7871,856
"De 12 a 16 años (038)",6777,6683,94
"De 17 a 24 años (039)",8850,8614,236
"Mujeres (040)",25819,20541,5278
"De 3 a 5 años (041)",4309,388,3921
"De 6 a 11 años (042)",8433,7586,847
"De 12 a 16 años (043)",5920,5803,117
"De 17 a 24 años (044)",7157,6764,393
