"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PIURA (000)",226138,156020,21925,20529,27664
"Hombres (001)",153613,107541,16070,12501,17501
"Mujeres (002)",72525,48479,5855,8028,10163
"De 06 a 14 años (003)",3013,2594,254,92,73
"Hombres (004)",2194,1896,208,65,25
"Mujeres (005)",819,698,46,27,48
"De 15 a 29 años (006)",75803,52096,8637,6918,8152
"Hombres (007)",51232,36020,6240,4172,4800
"Mujeres (008)",24571,16076,2397,2746,3352
"De 30 a 44 años (009)",82689,54371,8124,8746,11448
"Hombres (010)",54497,36432,5851,5156,7058
"Mujeres (011)",28192,17939,2273,3590,4390
"De 45 a 64 años (012)",55536,38932,4463,4518,7623
"Hombres (013)",38436,26852,3388,2897,5299
"Mujeres (014)",17100,12080,1075,1621,2324
"De 65 y más años (015)",9097,8027,447,255,368
"Hombres (016)",7254,6341,383,211,319
"Mujeres (017)",1843,1686,64,44,49
,,,,,
"URBANA (018)",197951,131670,19473,19782,27026
"Hombres (019)",128304,85628,13804,11856,17016
"Mujeres (020)",69647,46042,5669,7926,10010
"De 06 a 14 años (021)",2416,2082,208,68,58
"Hombres (022)",1682,1457,165,44,16
"Mujeres (023)",734,625,43,24,42
"De 15 a 29 años (024)",65155,43105,7612,6583,7855
"Hombres (025)",41833,28069,5297,3885,4582
"Mujeres (026)",23322,15036,2315,2698,3273
"De 30 a 44 años (027)",73784,46769,7296,8494,11225
"Hombres (028)",46491,29574,5096,4935,6886
"Mujeres (029)",27293,17195,2200,3559,4339
"De 45 a 64 años (030)",49399,33489,3989,4392,7529
"Hombres (031)",32826,21876,2941,2791,5218
"Mujeres (032)",16573,11613,1048,1601,2311
"De 65 y más años (033)",7197,6225,368,245,359
"Hombres (034)",5472,4652,305,201,314
"Mujeres (035)",1725,1573,63,44,45
,,,,,
"RURAL (036)",28187,24350,2452,747,638
"Hombres (037)",25309,21913,2266,645,485
"Mujeres (038)",2878,2437,186,102,153
"De 06 a 14 años (039)",597,512,46,24,15
"Hombres (040)",512,439,43,21,9
"Mujeres (041)",85,73,3,3,6
"De 15 a 29 años (042)",10648,8991,1025,335,297
"Hombres (043)",9399,7951,943,287,218
"Mujeres (044)",1249,1040,82,48,79
"De 30 a 44 años (045)",8905,7602,828,252,223
"Hombres (046)",8006,6858,755,221,172
"Mujeres (047)",899,744,73,31,51
"De 45 a 64 años (048)",6137,5443,474,126,94
"Hombres (049)",5610,4976,447,106,81
"Mujeres (050)",527,467,27,20,13
"De 65 y más años (051)",1900,1802,79,10,9
"Hombres (052)",1782,1689,78,10,5
"Mujeres (053)",118,113,1,,4
