"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",16313,46,973,478,454,931,5261,1914,1168,3502,22,527,1037
"Agric., ganadería, caza y silvicultura (001)",6899,,1,7,,,5260,2,7,1622,,,
"Pesca (002)",2,,,,,,1,,,1,,,
"Explotación de minas y canteras (003)",2708,,85,246,122,13,,1340,443,459,,,
"Industrias manufactureras (004)",495,,4,22,,8,,420,14,27,,,
"Suministro de electricidad, gas y agua (005)",13,,1,2,2,,,3,1,4,,,
"Construcción (006)",919,1,7,10,3,,,32,402,464,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",917,1,3,16,,641,,91,5,160,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",75,,,3,,3,,66,1,2,,,
"Comercio al por mayor (009)",58,,,2,,51,,2,1,2,,,
"Comercio al por menor (010)",784,1,3,11,,587,,23,3,156,,,
"Hoteles y restaurantes (011)",329,1,1,18,3,218,,,,88,,,
"Trans., almac. y comunicaciones (012)",333,,1,12,22,2,,5,205,86,,,
"Intermediación financiera (013)",11,,3,3,4,,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",271,,13,43,42,22,,17,67,67,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",425,29,12,22,222,6,,3,21,88,22,,
"Enseñanza (016)",840,14,795,3,15,,,,1,12,,,
"Servicios sociales y de salud (017)",121,,36,58,17,5,,1,2,2,,,
"Otras activ. serv.comun.soc y personales (018)",152,,11,16,1,16,,,,108,,,
"Hogares privados con servicio doméstico (019)",310,,,,,,,,,310,,,
"Actividad economica no especificada (021)",531,,,,1,,,,,3,,527,
"Desocupado (022)",1037,,,,,,,,,,,,1037
"Hombres (023)",13451,34,563,392,298,403,5074,1748,1148,2682,22,212,875
"Agric., ganadería, caza y silvicultura (024)",6494,,1,6,,,5073,2,7,1405,,,
"Pesca (025)",2,,,,,,1,,,1,,,
"Explotación de minas y canteras (026)",2607,,70,235,113,11,,1293,441,444,,,
"Industrias manufactureras (027)",363,,4,20,,,,301,11,27,,,
"Suministro de electricidad, gas y agua (028)",11,,,2,1,,,3,1,4,,,
"Construcción (029)",890,1,6,10,3,,,32,394,444,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",499,,,13,,306,,91,5,84,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",73,,,2,,2,,66,1,2,,,
"Comercio al por mayor (032)",38,,,1,,32,,2,1,2,,,
"Comercio al por menor (033)",388,,,10,,272,,23,3,80,,,
"Hoteles y restaurantes (034)",75,,1,5,1,52,,,,16,,,
"Trans., almac. y comunicaciones (035)",315,,1,10,15,1,,5,202,81,,,
"Intermediación financiera (036)",8,,3,1,3,,,,,1,,,
"Activid.inmobil., empres. y alquileres (037)",233,,11,36,28,21,,17,66,54,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",281,22,7,18,111,6,,3,18,74,22,,
"Enseñanza (039)",468,11,433,2,11,,,,1,10,,,
"Servicios sociales y de salud (040)",54,,18,19,11,2,,1,2,1,,,
"Otras activ. serv.comun.soc y personales (041)",50,,8,15,,4,,,,23,,,
"Hogares privados con servicio doméstico (042)",11,,,,,,,,,11,,,
"Actividad economica no especificada (044)",215,,,,1,,,,,2,,212,
"Desocupado (045)",875,,,,,,,,,,,,875
"Mujeres (046)",2862,12,410,86,156,528,187,166,20,820,,315,162
"Agric., ganadería, caza y silvicultura (047)",405,,,1,,,187,,,217,,,
"Explotación de minas y canteras (049)",101,,15,11,9,2,,47,2,15,,,
"Industrias manufactureras (050)",132,,,2,,8,,119,3,,,,
"Suministro de electricidad, gas y agua (051)",2,,1,,1,,,,,,,,
"Construcción (052)",29,,1,,,,,,8,20,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",418,1,3,3,,335,,,,76,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",2,,,1,,1,,,,,,,
"Comercio al por mayor (055)",20,,,1,,19,,,,,,,
"Comercio al por menor (056)",396,1,3,1,,315,,,,76,,,
"Hoteles y restaurantes (057)",254,1,,13,2,166,,,,72,,,
"Trans., almac. y comunicaciones (058)",18,,,2,7,1,,,3,5,,,
"Intermediación financiera (059)",3,,,2,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",38,,2,7,14,1,,,1,13,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",144,7,5,4,111,,,,3,14,,,
"Enseñanza (062)",372,3,362,1,4,,,,,2,,,
"Servicios sociales y de salud (063)",67,,18,39,6,3,,,,1,,,
"Otras activ. serv.comun.soc y personales (064)",102,,3,1,1,12,,,,85,,,
"Hogares privados con servicio doméstico (065)",299,,,,,,,,,299,,,
"Actividad economica no especificada (067)",316,,,,,,,,,1,,315,
"Desocupado (068)",162,,,,,,,,,,,,162
,,,,,,,,,,,,,
"URBANA (069)",5766,31,774,217,306,702,446,876,424,1242,18,192,538
"Agric., ganadería, caza y silvicultura (070)",653,,1,3,,,446,,3,200,,,
"Pesca (071)",1,,,,,,,,,1,,,
"Explotación de minas y canteras (072)",828,,13,33,15,,,586,39,142,,,
"Industrias manufactureras (073)",257,,,11,,8,,212,10,16,,,
"Suministro de electricidad, gas y agua (074)",13,,1,2,2,,,3,1,4,,,
"Construcción (075)",501,1,4,7,1,,,19,202,267,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",700,1,2,13,,522,,46,1,115,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",38,,,2,,2,,32,,2,,,
"Comercio al por mayor (078)",44,,,1,,41,,1,,1,,,
"Comercio al por menor (079)",618,1,2,10,,479,,13,1,112,,,
"Hoteles y restaurantes (080)",232,1,1,17,3,132,,,,78,,,
"Trans., almac. y comunicaciones (081)",197,,1,7,18,2,,1,120,48,,,
"Intermediación financiera (082)",11,,3,3,4,,,,,1,,,
"Activid.inmobil., empres. y alquileres (083)",166,,11,33,27,12,,5,29,49,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",378,17,12,21,206,6,,3,17,78,18,,
"Enseñanza (085)",722,11,685,3,13,,,,,10,,,
"Servicios sociales y de salud (086)",104,,29,51,15,4,,1,2,2,,,
"Otras activ. serv.comun.soc y personales (087)",134,,11,13,1,16,,,,93,,,
"Hogares privados con servicio doméstico (088)",135,,,,,,,,,135,,,
"Actividad economica no especificada (090)",196,,,,1,,,,,3,,192,
"Desocupado (091)",538,,,,,,,,,,,,538
"Hombres (092)",4081,20,429,151,167,275,428,802,407,838,18,92,454
"Agric., ganadería, caza y silvicultura (093)",614,,1,2,,,428,,3,180,,,
"Pesca (094)",1,,,,,,,,,1,,,
"Explotación de minas y canteras (095)",811,,12,33,12,,,577,39,138,,,
"Industrias manufactureras (096)",180,,,10,,,,147,7,16,,,
"Suministro de electricidad, gas y agua (097)",11,,,2,1,,,3,1,4,,,
"Construcción (098)",475,1,3,7,1,,,19,195,249,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",350,,,10,,237,,46,1,56,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",36,,,1,,1,,32,,2,,,
"Comercio al por mayor (101)",28,,,,,26,,1,,1,,,
"Comercio al por menor (102)",286,,,9,,210,,13,1,53,,,
"Hoteles y restaurantes (103)",34,,1,4,1,15,,,,13,,,
"Trans., almac. y comunicaciones (104)",182,,1,7,11,1,,1,117,44,,,
"Intermediación financiera (105)",8,,3,1,3,,,,,1,,,
"Activid.inmobil., empres. y alquileres (106)",137,,10,26,17,11,,5,28,40,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",241,11,7,17,100,6,,3,14,65,18,,
"Enseñanza (108)",395,8,368,2,9,,,,,8,,,
"Servicios sociales y de salud (109)",48,,15,17,11,1,,1,2,1,,,
"Otras activ. serv.comun.soc y personales (110)",39,,8,13,,4,,,,14,,,
"Hogares privados con servicio doméstico (111)",6,,,,,,,,,6,,,
"Actividad economica no especificada (113)",95,,,,1,,,,,2,,92,
"Desocupado (114)",454,,,,,,,,,,,,454
"Mujeres (115)",1685,11,345,66,139,427,18,74,17,404,,100,84
"Agric., ganadería, caza y silvicultura (116)",39,,,1,,,18,,,20,,,
"Explotación de minas y canteras (118)",17,,1,,3,,,9,,4,,,
"Industrias manufactureras (119)",77,,,1,,8,,65,3,,,,
"Suministro de electricidad, gas y agua (120)",2,,1,,1,,,,,,,,
"Construcción (121)",26,,1,,,,,,7,18,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",350,1,2,3,,285,,,,59,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",2,,,1,,1,,,,,,,
"Comercio al por mayor (124)",16,,,1,,15,,,,,,,
"Comercio al por menor (125)",332,1,2,1,,269,,,,59,,,
"Hoteles y restaurantes (126)",198,1,,13,2,117,,,,65,,,
"Trans., almac. y comunicaciones (127)",15,,,,7,1,,,3,4,,,
"Intermediación financiera (128)",3,,,2,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",29,,1,7,10,1,,,1,9,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",137,6,5,4,106,,,,3,13,,,
"Enseñanza (131)",327,3,317,1,4,,,,,2,,,
"Servicios sociales y de salud (132)",56,,14,34,4,3,,,,1,,,
"Otras activ. serv.comun.soc y personales (133)",95,,3,,1,12,,,,79,,,
"Hogares privados con servicio doméstico (134)",129,,,,,,,,,129,,,
"Actividad economica no especificada (136)",101,,,,,,,,,1,,100,
"Desocupado (137)",84,,,,,,,,,,,,84
,,,,,,,,,,,,,
"RURAL (138)",10547,15,199,261,148,229,4815,1038,744,2260,4,335,499
"Agric., ganadería, caza y silvicultura (139)",6246,,,4,,,4814,2,4,1422,,,
"Pesca (140)",1,,,,,,1,,,,,,
"Explotación de minas y canteras (141)",1880,,72,213,107,13,,754,404,317,,,
"Industrias manufactureras (142)",238,,4,11,,,,208,4,11,,,
"Construcción (144)",418,,3,3,2,,,13,200,197,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",217,,1,3,,119,,45,4,45,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",37,,,1,,1,,34,1,,,,
"Comercio al por mayor (147)",14,,,1,,10,,1,1,1,,,
