"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia PASCO (000)",37383,89,458,1424,3515,7831,13588,10478
"De 12 a 14 años (001)",56,,,,,,1,55
"De 15 a 19 años (002)",800,,,,,,452,348
"De 20 a 24 años (003)",4491,,,,,15,2339,2137
"De 25 a 29 años (004)",5609,,,,,206,3381,2022
"De 30 a 34 años (005)",4991,,,,,776,2943,1272
"De 35 a 39 años (006)",5015,,,,45,1520,2443,1007
"De 40 a 44 años (007)",4135,,,,224,1795,1361,755
"De 45 a 49 años (008)",3281,,,7,546,1659,559,510
"De 50 y más años (009)",9005,89,458,1417,2700,1860,109,2372
"Sin nivel (010)",4450,62,274,642,898,752,503,1319
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",17,,,,,,11,6
"De 20 a 24 años (013)",75,,,,,,48,27
"De 25 a 29 años (014)",111,,,,,3,81,27
"De 30 a 34 años (015)",144,,,,,21,77,46
"De 35 a 39 años (016)",196,,,,3,49,93,51
"De 40 a 44 años (017)",263,,,,10,96,101,56
"De 45 a 49 años (018)",323,,,,42,159,73,49
"De 50 y más años (019)",3320,62,274,642,843,424,19,1056
"Educacion Inicial (020)",37,,,,,3,24,10
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",1,,,,,,1,
"De 20 a 24 años (023)",8,,,,,,5,3
"De 25 a 29 años (024)",13,,,,,,10,3
"De 30 a 34 años (025)",10,,,,,2,6,2
"De 35 a 39 años (026)",4,,,,,1,2,1
"Primaria (030)",10796,25,162,582,1475,2954,3299,2299
"De 12 a 14 años (031)",17,,,,,,,17
"De 15 a 19 años (032)",130,,,,,,79,51
"De 20 a 24 años (033)",587,,,,,4,370,213
"De 25 a 29 años (034)",912,,,,,43,648,221
"De 30 a 34 años (035)",1074,,,,,169,676,229
"De 35 a 39 años (036)",1488,,,,10,467,728,283
"De 40 a 44 años (037)",1420,,,,60,640,499,221
"De 45 a 49 años (038)",1314,,,,184,709,248,173
"De 50 y más años (039)",3854,25,162,582,1221,922,51,891
"Secundaria (040)",12732,2,18,133,729,2570,6016,3264
"De 12 a 14 años (041)",37,,,,,,1,36
"De 15 a 19 años (042)",587,,,,,,335,252
"De 20 a 24 años (043)",2318,,,,,8,1405,905
"De 25 a 29 años (044)",2396,,,,,113,1569,714
"De 30 a 34 años (045)",1946,,,,,368,1185,393
"De 35 a 39 años (046)",1831,,,,24,620,874,313
"De 40 a 44 años (047)",1434,,,,98,640,459,237
"De 45 a 49 años (048)",1021,,,5,196,500,160,160
"De 50 y más años (049)",1162,2,18,128,411,321,28,254
