"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JUNIN (000)",9244,7457,448,288,1051
"Agric., ganadería, caza y silvicultura (001)",4189,4021,124,33,11
"Pesca (002)",1,1,,,
"Explotación de minas y canteras (003)",126,22,11,23,70
"Industrias manufactureras (004)",343,297,13,20,13
"Suministro de electricidad, gas y agua (005)",36,1,,33,2
"Construcción (006)",389,301,49,26,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1269,1224,41,3,1
"Venta, mant.y rep. veh.autom y motoc. (008)",146,135,9,1,1
"Comercio al por mayor (009)",53,50,2,1,
"Comercio al por menor (010)",1070,1039,30,1,
"Hoteles y restaurantes (011)",334,300,26,5,3
"Trans., almac. y comunicaciones (012)",708,611,42,18,37
"Intermediación financiera (013)",8,1,,4,3
"Activid.inmobil., empres. y alquileres (014)",168,98,27,15,28
"Admin.pub. y defensa; p. segur soc.afil (015)",371,,,,371
"Enseñanza (016)",622,83,81,87,371
"Servicios sociales y de salud (017)",162,42,8,3,109
"Otras activ. serv.comun.soc y personales (018)",231,202,19,6,4
"Hogares privados con servicio doméstico (019)",86,86,,,
"Actividad economica no especificada (021)",201,167,7,12,15
"Hombres (022)",6221,5050,328,216,627
"Agric., ganadería, caza y silvicultura (023)",3183,3064,88,23,8
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",125,22,11,22,70
"Industrias manufactureras (026)",257,224,13,12,8
"Suministro de electricidad, gas y agua (027)",36,1,,33,2
"Construcción (028)",387,299,49,26,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",557,527,26,3,1
"Venta, mant.y rep. veh.autom y motoc. (030)",137,126,9,1,1
"Comercio al por mayor (031)",34,31,2,1,
"Comercio al por menor (032)",386,370,15,1,
"Hoteles y restaurantes (033)",96,78,12,4,2
"Trans., almac. y comunicaciones (034)",679,585,41,18,35
"Intermediación financiera (035)",3,1,,2,
"Activid.inmobil., empres. y alquileres (036)",132,72,24,11,25
"Admin.pub. y defensa; p. segur soc.afil (037)",234,,,,234
"Enseñanza (038)",308,37,46,48,177
"Servicios sociales y de salud (039)",69,25,1,1,42
"Otras activ. serv.comun.soc y personales (040)",66,45,12,6,3
"Hogares privados con servicio doméstico (041)",1,1,,,
"Actividad economica no especificada (043)",87,68,5,7,7
