"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TAHUAMANU (000)",5541,2658,308,559,2016
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",16,,1,1,14
"Profes., científicos e intelectuales (002)",304,36,36,80,152
"Técnicos de nivel medio y trab. asimilados (003)",425,91,21,37,276
"Jefes y empleados de oficina (004)",192,18,16,22,136
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",451,370,18,23,40
"Agricult.trabaj.calif.agrop.y pesqueros (006)",962,939,20,1,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",471,130,35,55,251
"Obreros construc.,conf.,papel, fab., instr. (008)",1042,243,66,146,587
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1561,775,89,190,507
"Otra (010)",50,,,,50
"Ocupación no especificada (011)",67,56,6,4,1
"Hombres (012)",4335,1885,243,469,1738
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",13,,1,1,11
"Profes., científicos e intelectuales (014)",196,17,21,48,110
"Técnicos de nivel medio y trab. asimilados (015)",330,60,18,31,221
"Jefes y empleados de oficina (016)",109,6,8,11,84
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",161,115,5,15,26
"Agricult.trabaj.calif.agrop.y pesqueros (018)",867,844,20,1,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",456,120,33,54,249
"Obreros construc.,conf.,papel, fab., instr. (020)",996,236,64,135,561
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1143,478,70,171,424
"Otra (022)",49,,,,49
"Ocupación no especificada (023)",15,9,3,2,1
"Mujeres (024)",1206,773,65,90,278
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,,,,3
"Profes., científicos e intelectuales (026)",108,19,15,32,42
"Técnicos de nivel medio y trab. asimilados (027)",95,31,3,6,55
"Jefes y empleados de oficina (028)",83,12,8,11,52
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",290,255,13,8,14
"Agricult.trabaj.calif.agrop.y pesqueros (030)",95,95,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",15,10,2,1,2
"Obreros construc.,conf.,papel, fab., instr. (032)",46,7,2,11,26
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",418,297,19,19,83
"Otra (034)",1,,,,1
