"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia NAZCA (000)",22019,50258,46926,,829,93.4,1.6
"De 12 a 14 años (001)",1910,11,10,,,90.9,
"De 15 a 19 años (002)",2776,339,337,80,99.4,23.6,
"De 20 a 24 años (003)",2366,1612,1593,200,98.8,12.4,
"De 25 a 29 años (004)",2317,3022,2965,221,98.1,7.3,
"De 30 a 34 años (005)",2372,4560,4472,193,98.1,4.2,
"De 35 a 39 años (006)",2068,5351,5202,96,97.2,1.8,
"De 40 a 44 años (007)",1864,5639,5397,36,95.7,0.6,
"De 45 a 49 años (008)",1479,5216,4936,3,94.6,0.1,
"De 50 y más años (009)",4867,24508,22014,,89.8,,
"PEA (010)",7964,18371,17509,218,95.3,1.2,
"De 12 a 14 años (011)",86,2,2,,100,,
"De 15 a 19 años (012)",505,77,77,7,100,9.1,
"De 20 a 24 años (013)",893,483,475,38,98.3,7.9,
"De 25 a 29 años (014)",1046,1121,1094,57,97.6,5.1,
"De 30 a 34 años (015)",1108,1950,1909,64,97.9,3.3,
"De 35 a 39 años (016)",1059,2567,2504,35,97.5,1.4,
"De 40 a 44 años (017)",1011,2945,2838,16,96.4,0.5,
"De 45 a 49 años (018)",738,2517,2394,1,95.1,,
"De 50 y más años (019)",1518,6709,6216,,92.7,,
"Ocupada (020)",7633,17856,17016,206,95.3,1.2,
"De 12 a 14 años (021)",80,2,2,,100,,
"De 15 a 19 años (022)",462,68,68,5,100,7.4,
"De 20 a 24 años (023)",817,458,450,37,98.3,8.1,
"De 25 a 29 años (024)",991,1071,1045,53,97.6,4.9,
"De 30 a 34 años (025)",1058,1870,1829,60,97.8,3.2,
"De 35 a 39 años (026)",1026,2480,2419,34,97.5,1.4,
"De 40 a 44 años (027)",987,2879,2773,16,96.3,0.6,
"De 45 a 49 años (028)",720,2455,2334,1,95.1,,
"De 50 y más años (029)",1492,6573,6096,,92.7,,
"Desocupada (030)",331,515,493,12,95.7,2.3,
"De 12 a 14 años (031)",6,,,,,,
"De 15 a 19 años (032)",43,9,9,2,100,22.2,
"De 20 a 24 años (033)",76,25,25,1,100,4,
"De 25 a 29 años (034)",55,50,49,4,98,8,
"De 30 a 34 años (035)",50,80,80,4,100,5,
"De 35 a 39 años (036)",33,87,85,1,97.7,1.1,
