"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",4072,3983,980,480,473,394,644,471,274,267,89,13822
"De 12 a 14 años (001)",372,370,367,3,,,,,,,2,3
"De 15 a 19 años (002)",400,395,337,48,10,,,,,,5,68
"De 20 a 24 años (003)",351,327,90,147,72,12,6,,,,24,353
"De 25 a 29 años (004)",346,329,49,100,88,57,28,7,,,17,607
"De 30 a 34 años (005)",309,293,27,45,85,68,50,11,6,1,16,765
"De 35 a 39 años (006)",323,316,15,32,57,75,94,31,10,2,7,1088
"De 40 a 44 años (007)",327,324,10,31,42,46,99,68,16,12,3,1390
"De 45 a 49 años (008)",255,252,8,12,20,27,81,44,37,23,3,1354
"De 50 y más años (009)",1389,1377,77,62,99,109,286,310,205,229,12,8194
"Sin nivel (010)",798,789,47,28,50,52,151,185,127,149,9,4918
"De 12 a 14 años (011)",3,3,3,,,,,,,,,
"De 15 a 19 años (012)",8,8,6,1,1,,,,,,,3
"De 20 a 24 años (013)",7,7,1,2,2,,2,,,,,15
"De 25 a 29 años (014)",16,15,1,1,2,5,5,1,,,1,49
"De 30 a 34 años (015)",18,18,2,,3,4,3,3,3,,,76
"De 35 a 39 años (016)",26,24,1,,2,,4,11,4,2,2,145
"De 40 a 44 años (017)",32,31,3,,2,4,10,1,3,8,1,175
"De 45 a 49 años (018)",41,41,,2,,2,8,11,9,9,,302
"De 50 y más años (019)",647,642,30,22,38,37,119,158,108,130,5,4153
"Educacion Inicial (020)",6,6,1,2,1,1,1,,,,,11
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 20 a 24 años (023)",2,2,1,1,,,,,,,,1
"De 25 a 29 años (024)",1,1,,,1,,,,,,,2
