"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia YAULI (000)",18726,40,1409,1223,706,2502,670,4060,2749,4558,105,704
"Agric., ganadería, caza y silvicultura (001)",1449,,9,13,5,,611,10,13,788,,
"Pesca (002)",69,,1,,,,59,,1,8,,
"Explotación de minas y canteras (003)",3876,1,198,264,104,7,,2200,320,782,,
"Industrias manufactureras (004)",1583,,58,113,56,5,,1103,169,79,,
"Suministro de electricidad, gas y agua (005)",100,1,3,15,10,,,34,29,8,,
"Construcción (006)",1617,1,45,109,18,,,165,764,515,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2870,,44,143,15,1465,,453,65,685,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",499,,14,38,3,45,,371,22,6,,
"Comercio al por mayor (009)",94,,5,13,5,52,,,9,10,,
"Comercio al por menor (010)",2277,,25,92,7,1368,,82,34,669,,
"Hoteles y restaurantes (011)",1135,,30,57,12,615,,,2,419,,
"Trans., almac. y comunicaciones (012)",1730,,9,61,100,,,39,1296,225,,
"Intermediación financiera (013)",49,1,12,12,20,,,,,4,,
"Activid.inmobil., empres. y alquileres (014)",1194,,139,218,144,285,,37,59,312,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",459,29,24,19,134,28,,6,22,92,105,
"Enseñanza (016)",709,6,665,7,21,,,2,2,6,,
"Servicios sociales y de salud (017)",252,,122,94,12,11,,4,1,8,,
"Otras activ. serv.comun.soc y personales (018)",693,,47,86,23,86,,7,4,440,,
"Hogares privados con servicio doméstico (019)",180,,,,,,,,,180,,
"Actividad economica no especificada (021)",761,1,3,12,32,,,,2,7,,704
"Hombres (022)",13786,31,785,933,408,1106,527,3883,2699,2890,101,423
"Agric., ganadería, caza y silvicultura (023)",1049,,6,12,4,,480,10,9,528,,
"Pesca (024)",57,,1,,,,47,,1,8,,
"Explotación de minas y canteras (025)",3801,1,182,246,94,7,,2180,320,771,,
