"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ASCOPE (000)",37960,23660,4139,4269,5892
"Hombres (001)",27855,16370,3280,3350,4855
"Mujeres (002)",10105,7290,859,919,1037
"De 06 a 14 años (003)",328,251,42,25,10
"Hombres (004)",240,173,34,24,9
"Mujeres (005)",88,78,8,1,1
"De 15 a 29 años (006)",11205,7086,1413,1157,1549
"Hombres (007)",8396,5150,1117,925,1204
"Mujeres (008)",2809,1936,296,232,345
"De 30 a 44 años (009)",14013,8432,1547,1778,2256
"Hombres (010)",10021,5625,1202,1341,1853
"Mujeres (011)",3992,2807,345,437,403
"De 45 a 64 años (012)",10956,6635,1037,1265,2019
"Hombres (013)",8118,4510,848,1025,1735
"Mujeres (014)",2838,2125,189,240,284
"De 65 y más años (015)",1458,1256,100,44,58
"Hombres (016)",1080,912,79,35,54
"Mujeres (017)",378,344,21,9,4
,,,,,
"URBANA (018)",33145,19978,3642,3989,5536
"Hombres (019)",23716,13218,2846,3100,4552
"Mujeres (020)",9429,6760,796,889,984
"De 06 a 14 años (021)",271,205,33,23,10
"Hombres (022)",192,135,26,22,9
"Mujeres (023)",79,70,7,1,1
"De 15 a 29 años (024)",9490,5784,1212,1054,1440
"Hombres (025)",6972,4063,948,835,1126
"Mujeres (026)",2518,1721,264,219,314
"De 30 a 44 años (027)",12564,7361,1397,1677,2129
"Hombres (028)",8768,4704,1069,1253,1742
"Mujeres (029)",3796,2657,328,424,387
"De 45 a 64 años (030)",9633,5616,923,1195,1899
"Hombres (031)",6954,3630,745,958,1621
"Mujeres (032)",2679,1986,178,237,278
"De 65 y más años (033)",1187,1012,77,40,58
"Hombres (034)",830,686,58,32,54
"Mujeres (035)",357,326,19,8,4
,,,,,
"RURAL (036)",4815,3682,497,280,356
"Hombres (037)",4139,3152,434,250,303
"Mujeres (038)",676,530,63,30,53
"De 06 a 14 años (039)",57,46,9,2,
"Hombres (040)",48,38,8,2,
"Mujeres (041)",9,8,1,,
"De 15 a 29 años (042)",1715,1302,201,103,109
"Hombres (043)",1424,1087,169,90,78
"Mujeres (044)",291,215,32,13,31
"De 30 a 44 años (045)",1449,1071,150,101,127
"Hombres (046)",1253,921,133,88,111
"Mujeres (047)",196,150,17,13,16
"De 45 a 64 años (048)",1323,1019,114,70,120
"Hombres (049)",1164,880,103,67,114
"Mujeres (050)",159,139,11,3,6
"De 65 y más años (051)",271,244,23,4,
"Hombres (052)",250,226,21,3,
"Mujeres (053)",21,18,2,1,
