"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ALTO AMAZONAS (000)",33372,26639,3132,1771,1830
"Hombres (001)",23727,18905,2321,1226,1275
"Mujeres (002)",9645,7734,811,545,555
"De 06 a 14 años (003)",1100,980,98,19,3
"Hombres (004)",759,671,72,14,2
"Mujeres (005)",341,309,26,5,1
"De 15 a 29 años (006)",11545,9411,1112,515,507
"Hombres (007)",8258,6679,841,371,367
"Mujeres (008)",3287,2732,271,144,140
"De 30 a 44 años (009)",11420,8615,1173,792,840
"Hombres (010)",8027,6099,832,530,566
"Mujeres (011)",3393,2516,341,262,274
"De 45 a 64 años (012)",7855,6294,677,421,463
"Hombres (013)",5600,4465,518,293,324
"Mujeres (014)",2255,1829,159,128,139
"De 65 y más años (015)",1452,1339,72,24,17
"Hombres (016)",1083,991,58,18,16
"Mujeres (017)",369,348,14,6,1
,,,,,
"URBANA (018)",21840,16102,2335,1635,1768
"Hombres (019)",14059,10059,1650,1117,1233
"Mujeres (020)",7781,6043,685,518,535
"De 06 a 14 años (021)",681,607,59,13,2
"Hombres (022)",440,385,44,10,1
"Mujeres (023)",241,222,15,3,1
"De 15 a 29 años (024)",7186,5424,811,465,486
"Hombres (025)",4623,3351,588,332,352
"Mujeres (026)",2563,2073,223,133,134
"De 30 a 44 años (027)",7618,5167,899,742,810
"Hombres (028)",4793,3156,601,489,547
"Mujeres (029)",2825,2011,298,253,263
"De 45 a 64 años (030)",5379,4020,512,394,453
"Hombres (031)",3519,2557,375,270,317
"Mujeres (032)",1860,1463,137,124,136
"De 65 y más años (033)",976,884,54,21,17
"Hombres (034)",684,610,42,16,16
"Mujeres (035)",292,274,12,5,1
,,,,,
"RURAL (036)",11532,10537,797,136,62
"Hombres (037)",9668,8846,671,109,42
"Mujeres (038)",1864,1691,126,27,20
"De 06 a 14 años (039)",419,373,39,6,1
"Hombres (040)",319,286,28,4,1
"Mujeres (041)",100,87,11,2,
"De 15 a 29 años (042)",4359,3987,301,50,21
"Hombres (043)",3635,3328,253,39,15
"Mujeres (044)",724,659,48,11,6
"De 30 a 44 años (045)",3802,3448,274,50,30
"Hombres (046)",3234,2943,231,41,19
"Mujeres (047)",568,505,43,9,11
"De 45 a 64 años (048)",2476,2274,165,27,10
"Hombres (049)",2081,1908,143,23,7
"Mujeres (050)",395,366,22,4,3
"De 65 y más años (051)",476,455,18,3,
"Hombres (052)",399,381,16,2,
"Mujeres (053)",77,74,2,1,
