"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PUNO (000)",99739,1213,29185,34232,26676,8433
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",260,,27,106,121,6
"Profes., científicos e intelectuales (002)",12425,,1968,6354,3990,113
"Técnicos de nivel medio y trab.asimilados (003)",3863,3,1314,1450,1007,89
"Jefes y empleados de oficina (004)",3832,,1357,1400,1047,28
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",9986,130,3205,3618,2512,521
"Agricult.trabaj. calif. agrop. y pesqueros (006)",17723,22,2541,4894,6239,4027
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",8131,71,2996,2981,1785,298
"Obreros construc., conf., papel, fab., instr. (008)",7428,39,2425,2920,1808,236
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",27374,909,9329,7594,6725,2817
"Otra (010)",1358,,424,649,283,2
"Ocupación no especificada (011)",1300,7,439,408,310,136
"Desocupado (012)",6059,32,3160,1858,849,160
"Hombres (013)",56504,649,16116,19249,15428,5062
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",194,,16,72,100,6
"Profes., científicos e intelectuales (015)",7184,,1010,3457,2615,102
"Técnicos de nivel medio y trab.asimilados (016)",2565,3,886,952,660,64
"Jefes y empleados de oficina (017)",2021,,557,746,693,25
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",3397,59,1197,1207,755,179
"Agricult.trabaj. calif. agrop. y pesqueros (019)",12967,9,1749,3698,4516,2995
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",3937,31,1498,1349,892,167
"Obreros construc., conf., papel, fab., instr. (021)",7061,32,2312,2774,1721,222
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",11201,491,4312,2910,2384,1104
"Otra (023)",1274,,357,634,281,2
"Ocupación no especificada (024)",585,4,221,175,131,54
"Desocupado (025)",4118,20,2001,1275,680,142
"Mujeres (026)",43235,564,13069,14983,11248,3371
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",66,,11,34,21,
"Profes., científicos e intelectuales (028)",5241,,958,2897,1375,11
"Técnicos de nivel medio y trab.asimilados (029)",1298,,428,498,347,25
"Jefes y empleados de oficina (030)",1811,,800,654,354,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",6589,71,2008,2411,1757,342
"Agricult.trabaj. calif. agrop. y pesqueros (032)",4756,13,792,1196,1723,1032
