"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia COTABAMBAS (000)",762,615,147
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",28,28,
"Hospital, clinica (004)",48,48,
"Cárcel, centro de readaptación social (005)",19,19,
"Aldea infantil, orfelinato, etc (007)",144,,144
"Otro (008)",479,476,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",44,44,
