"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PIURA (000)",226138,3013,75803,82689,55536,9097
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",514,,34,186,272,22
"Profes., científicos e intelectuales (002)",22647,,5278,10386,6642,341
"Técnicos de nivel medio y trab. asimilados (003)",14387,21,4968,5840,3290,268
"Jefes y empleados de oficina (004)",11903,,4475,4519,2824,85
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",38606,371,12476,14459,9758,1542
"Agricult. trabaj. calif.agrop. y pesqueros (006)",22206,148,4641,7163,7338,2916
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",17039,183,5622,5941,4551,742
"Obreros construc., conf., papel, fab., instr. (008)",25943,55,8431,10355,6452,650
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",65707,2206,27595,21083,12596,2227
"Otra (010)",1712,,280,848,582,2
"Ocupación no especificada (011)",5474,29,2003,1909,1231,302
"Hombres (012)",153613,2194,51232,54497,38436,7254
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",347,,27,132,174,14
"Profes., científicos e intelectuales (014)",10811,,2190,4536,3805,280
"Técnicos de nivel medio y trab. asimilados (015)",8622,14,2799,3415,2180,214
"Jefes y empleados de oficina (016)",5792,,1847,2224,1662,59
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",18506,218,6408,6687,4401,792
"Agricult. trabaj. calif.agrop. y pesqueros (018)",21343,134,4426,6879,7089,2815
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",13405,131,4620,4626,3420,608
"Obreros construc., conf., papel, fab., instr. (020)",25160,44,8176,10056,6254,630
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",45375,1636,19508,14226,8309,1696
"Otra (022)",1594,,210,820,562,2
"Ocupación no especificada (023)",2658,17,1021,896,580,144
"Mujeres (024)",72525,819,24571,28192,17100,1843
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",167,,7,54,98,8
"Profes., científicos e intelectuales (026)",11836,,3088,5850,2837,61
"Técnicos de nivel medio y trab. asimilados (027)",5765,7,2169,2425,1110,54
"Jefes y empleados de oficina (028)",6111,,2628,2295,1162,26
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",20100,153,6068,7772,5357,750
"Agricult. trabaj. calif.agrop. y pesqueros (030)",863,14,215,284,249,101
