"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SAN PABLO (000)",21452,1069,5280,4216,3108,2668,1877,1354,1880
"Quechua (001)",24,1,2,2,1,4,1,3,10
"Aymara (002)",1,,,,1,,,,
"Otra lengua nativa (004)",4,,3,,1,,,,
"Castellano (005)",21403,1063,5273,4208,3103,2661,1874,1351,1870
"Es sordomudo/a (007)",20,5,2,6,2,3,2,,
"Hombres (009)",10411,549,2641,2087,1526,1199,917,619,873
"Quechua (010)",13,,1,2,1,2,,2,5
"Aymara (011)",1,,,,1,,,,
"Otra lengua nativa (013)",1,,1,,,,,,
"Castellano (014)",10384,546,2638,2082,1524,1194,915,617,868
"Es sordomudo/a (016)",12,3,1,3,,3,2,,
"Mujeres (018)",11041,520,2639,2129,1582,1469,960,735,1007
"Quechua (019)",11,1,1,,,2,1,1,5
"Otra lengua nativa (022)",3,,2,,1,,,,
"Castellano (023)",11019,517,2635,2126,1579,1467,959,734,1002
"Es sordomudo/a (025)",8,2,1,3,2,,,,
,,,,,,,,,
"URBANA (027)",3340,156,711,594,553,515,331,219,261
"Quechua (028)",1,,,,,,1,,
"Castellano (032)",3339,156,711,594,553,515,330,219,261
"Hombres (036)",1611,72,364,293,280,230,162,90,120
"Castellano (041)",1611,72,364,293,280,230,162,90,120
"Mujeres (045)",1729,84,347,301,273,285,169,129,141
"Quechua (046)",1,,,,,,1,,
"Castellano (050)",1728,84,347,301,273,285,168,129,141
,,,,,,,,,
"RURAL (054)",18112,913,4569,3622,2555,2153,1546,1135,1619
"Quechua (055)",23,1,2,2,1,4,,3,10
"Aymara (056)",1,,,,1,,,,
"Otra lengua nativa (058)",4,,3,,1,,,,
"Castellano (059)",18064,907,4562,3614,2550,2146,1544,1132,1609
"Es sordomudo/a (061)",20,5,2,6,2,3,2,,
"Hombres (063)",8800,477,2277,1794,1246,969,755,529,753
"Quechua (064)",13,,1,2,1,2,,2,5
"Aymara (065)",1,,,,1,,,,
"Otra lengua nativa (067)",1,,1,,,,,,
"Castellano (068)",8773,474,2274,1789,1244,964,753,527,748
"Es sordomudo/a (070)",12,3,1,3,,3,2,,
"Mujeres (072)",9312,436,2292,1828,1309,1184,791,606,866
"Quechua (073)",10,1,1,,,2,,1,5
"Otra lengua nativa (076)",3,,2,,1,,,,
"Castellano (077)",9291,433,2288,1825,1306,1182,791,605,861
"Es sordomudo/a (079)",8,2,1,3,2,,,,
