"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PASCO (000)",80509,44260,1575,896,31495,530,37,145,50,1521
"Hombres (001)",29566,22109,1071,431,4700,235,23,93,49,855
"Mujeres (002)",50943,22151,504,465,26795,295,14,52,1,666
"De 06 a 14 años (003)",29165,28067,,,661,186,2,13,,236
"Hombres (004)",14859,14328,,,313,96,2,6,,114
"Mujeres (005)",14306,13739,,,348,90,,7,,122
"De 15 a 29 años (006)",27321,15609,24,223,10754,,15,20,50,626
"Hombres (007)",9894,7568,11,87,1817,,9,15,49,338
"Mujeres (008)",17427,8041,13,136,8937,,6,5,1,288
"De 30 a 44 años (009)",11314,447,76,211,10254,,9,27,,290
"Hombres (010)",1606,155,30,89,1107,,3,22,,200
"Mujeres (011)",9708,292,46,122,9147,,6,5,,90
"De 45 a 64 años (012)",8183,132,615,231,6942,2,9,55,,197
"Hombres (013)",1657,57,426,130,863,1,7,35,,138
"Mujeres (014)",6526,75,189,101,6079,1,2,20,,59
"De 65 y más años (015)",4526,5,860,231,2884,342,2,30,,172
"Hombres (016)",1550,1,604,125,600,138,2,15,,65
"Mujeres (017)",2976,4,256,106,2284,204,,15,,107
,,,,,,,,,,
"AREA URBANA (018)",61121,33647,1387,721,23540,411,35,113,21,1246
"Hombres (019)",22688,16686,969,330,3731,181,21,70,20,680
"Mujeres (020)",38433,16961,418,391,19809,230,14,43,1,566
"De 06 a 14 años (021)",21948,21093,,,535,131,2,7,,180
"Hombres (022)",11127,10709,,,251,69,2,3,,93
"Mujeres (023)",10821,10384,,,284,62,,4,,87
"De 15 a 29 años (024)",20785,12063,19,184,7939,,13,11,21,535
"Hombres (025)",7612,5784,11,69,1439,,7,7,20,275
"Mujeres (026)",13173,6279,8,115,6500,,6,4,1,260
"De 30 a 44 años (027)",8667,381,62,178,7777,,9,24,,236
"Hombres (028)",1319,142,28,71,898,,3,19,,158
"Mujeres (029)",7348,239,34,107,6879,,6,5,,78
"De 45 a 64 años (030)",6276,106,553,192,5199,2,9,51,,164
"Hombres (031)",1390,50,387,107,693,1,7,33,,112
"Mujeres (032)",4886,56,166,85,4506,1,2,18,,52
"De 65 y más años (033)",3445,4,753,167,2090,278,2,20,,131
"Hombres (034)",1240,1,543,83,450,111,2,8,,42
"Mujeres (035)",2205,3,210,84,1640,167,,12,,89
,,,,,,,,,,
"AREA RURAL (036)",19388,10613,188,175,7955,119,2,32,29,275
"Hombres (037)",6878,5423,102,101,969,54,2,23,29,175
"Mujeres (038)",12510,5190,86,74,6986,65,,9,,100
"De 06 a 14 años (039)",7217,6974,,,126,55,,6,,56
"Hombres (040)",3732,3619,,,62,27,,3,,21
"Mujeres (041)",3485,3355,,,64,28,,3,,35
"De 15 a 29 años (042)",6536,3546,5,39,2815,,2,9,29,91
"Hombres (043)",2282,1784,,18,378,,2,8,29,63
"Mujeres (044)",4254,1762,5,21,2437,,,1,,28
"De 30 a 44 años (045)",2647,66,14,33,2477,,,3,,54
"Hombres (046)",287,13,2,18,209,,,3,,42
"Mujeres (047)",2360,53,12,15,2268,,,,,12
"De 45 a 64 años (048)",1907,26,62,39,1743,,,4,,33
"Hombres (049)",267,7,39,23,170,,,2,,26
"Mujeres (050)",1640,19,23,16,1573,,,2,,7
"De 65 y más años (051)",1081,1,107,64,794,64,,10,,41
"Hombres (052)",310,,61,42,150,27,,7,,23
"Mujeres (053)",771,1,46,22,644,37,,3,,18
