"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CARHUAZ (000)",33093,5237,6345,6156,5165,3654,6536
"Conviviente (001)",6217,77,1774,2455,1172,385,354
"Separado(a) (002)",959,12,149,202,231,166,199
"Casado(a) (003)",12443,11,344,2169,3198,2653,4068
"Viudo(a) (004)",1906,9,9,31,92,194,1571
"Divorciado(a) (005)",96,,5,19,19,20,33
"Soltero(a) (006)",11472,5128,4064,1280,453,236,311
"Hombres (008)",15806,2665,3178,2980,2457,1701,2825
"Conviviente (009)",3008,23,704,1244,636,211,190
"Separado(a) (010)",186,2,11,30,50,37,56
"Casado(a) (011)",6111,5,115,969,1556,1319,2147
"Viudo(a) (012)",371,2,3,2,13,37,314
"Divorciado(a) (013)",34,,1,6,7,8,12
"Soltero(a) (014)",6096,2633,2344,729,195,89,106
"Mujeres (016)",17287,2572,3167,3176,2708,1953,3711
"Conviviente (017)",3209,54,1070,1211,536,174,164
"Separado(a) (018)",773,10,138,172,181,129,143
"Casado(a) (019)",6332,6,229,1200,1642,1334,1921
"Viudo(a) (020)",1535,7,6,29,79,157,1257
"Divorciado(a) (021)",62,,4,13,12,12,21
"Soltero(a) (022)",5376,2495,1720,551,258,147,205
,,,,,,,
"URBANA (024)",11506,1603,2136,2295,1850,1342,2280
"Conviviente (025)",2211,17,508,885,501,159,141
"Separado(a) (026)",345,4,27,63,86,61,104
"Casado(a) (027)",4237,4,120,737,1042,950,1384
"Viudo(a) (028)",576,2,4,10,29,51,480
"Divorciado(a) (029)",49,,2,8,8,12,19
"Soltero(a) (030)",4088,1576,1475,592,184,109,152
"Hombres (032)",5540,808,1053,1150,877,648,1004
"Conviviente (033)",1064,6,174,445,267,90,82
"Separado(a) (034)",83,2,3,12,23,18,25
"Casado(a) (035)",2078,2,42,319,495,479,741
"Viudo(a) (036)",106,,2,1,3,7,93
"Divorciado(a) (037)",24,,1,4,4,7,8
"Soltero(a) (038)",2185,798,831,369,85,47,55
"Mujeres (040)",5966,795,1083,1145,973,694,1276
"Conviviente (041)",1147,11,334,440,234,69,59
"Separado(a) (042)",262,2,24,51,63,43,79
"Casado(a) (043)",2159,2,78,418,547,471,643
"Viudo(a) (044)",470,2,2,9,26,44,387
"Divorciado(a) (045)",25,,1,4,4,5,11
"Soltero(a) (046)",1903,778,644,223,99,62,97
,,,,,,,
"RURAL (048)",21587,3634,4209,3861,3315,2312,4256
"Conviviente (049)",4006,60,1266,1570,671,226,213
"Separado(a) (050)",614,8,122,139,145,105,95
"Casado(a) (051)",8206,7,224,1432,2156,1703,2684
"Viudo(a) (052)",1330,7,5,21,63,143,1091
"Divorciado(a) (053)",47,,3,11,11,8,14
"Soltero(a) (054)",7384,3552,2589,688,269,127,159
"Hombres (056)",10266,1857,2125,1830,1580,1053,1821
"Conviviente (057)",1944,17,530,799,369,121,108
"Separado(a) (058)",103,,8,18,27,19,31
"Casado(a) (059)",4033,3,73,650,1061,840,1406
"Viudo(a) (060)",265,2,1,1,10,30,221
"Divorciado(a) (061)",10,,,2,3,1,4
"Soltero(a) (062)",3911,1835,1513,360,110,42,51
"Mujeres (064)",11321,1777,2084,2031,1735,1259,2435
"Conviviente (065)",2062,43,736,771,302,105,105
"Separado(a) (066)",511,8,114,121,118,86,64
"Casado(a) (067)",4173,4,151,782,1095,863,1278
"Viudo(a) (068)",1065,5,4,20,53,113,870
"Divorciado(a) (069)",37,,3,9,8,7,10
"Soltero(a) (070)",3473,1717,1076,328,159,85,108
