"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PACASMAYO (000)",1790,32,910,457,332,59
"Conviviente (001)",450,1,175,173,90,11
"Separado(a) (002)",77,,20,29,24,4
"Casado(a) (003)",328,,29,104,166,29
"Viudo(a) (004)",29,,1,5,11,12
"Divorciado(a) (005)",6,,1,1,4,
"Soltero(a) (006)",900,31,684,145,37,3
"Hombres (008)",1316,19,629,329,290,49
"Conviviente (009)",354,1,120,142,80,11
"Separado(a) (010)",33,,5,10,15,3
"Casado(a) (011)",269,,14,77,155,23
"Viudo(a) (012)",16,,,1,5,10
"Divorciado(a) (013)",4,,1,,3,
"Soltero(a) (014)",640,18,489,99,32,2
"Mujeres (016)",474,13,281,128,42,10
"Conviviente (017)",96,,55,31,10,
"Separado(a) (018)",44,,15,19,9,1
"Casado(a) (019)",59,,15,27,11,6
"Viudo(a) (020)",13,,1,4,6,2
"Divorciado(a) (021)",2,,,1,1,
"Soltero(a) (022)",260,13,195,46,5,1
,,,,,,
"AREA URBANA (024)",1600,25,801,423,296,55
"Conviviente (025)",385,1,145,156,73,10
"Separado(a) (026)",70,,18,26,23,3
"Casado(a) (027)",308,,28,99,153,28
"Viudo(a) (028)",25,,,5,9,11
"Divorciado(a) (029)",5,,1,1,3,
"Soltero(a) (030)",807,24,609,136,35,3
"Hombres (032)",1174,13,556,298,261,46
"Conviviente (033)",301,1,99,125,66,10
"Separado(a) (034)",31,,5,8,15,3
"Casado(a) (035)",252,,13,74,143,22
"Viudo(a) (036)",15,,,1,5,9
"Divorciado(a) (037)",3,,1,,2,
"Soltero(a) (038)",572,12,438,90,30,2
"Mujeres (040)",426,12,245,125,35,9
"Conviviente (041)",84,,46,31,7,
"Separado(a) (042)",39,,13,18,8,
"Casado(a) (043)",56,,15,25,10,6
"Viudo(a) (044)",10,,,4,4,2
"Divorciado(a) (045)",2,,,1,1,
"Soltero(a) (046)",235,12,171,46,5,1
,,,,,,
"AREA RURAL (048)",190,7,109,34,36,4
"Conviviente (049)",65,,30,17,17,1
"Separado(a) (050)",7,,2,3,1,1
"Casado(a) (051)",20,,1,5,13,1
"Viudo(a) (052)",4,,1,,2,1
"Divorciado(a) (053)",1,,,,1,
"Soltero(a) (054)",93,7,75,9,2,
"Hombres (056)",142,6,73,31,29,3
"Conviviente (057)",53,,21,17,14,1
"Separado(a) (058)",2,,,2,,
"Casado(a) (059)",17,,1,3,12,1
"Viudo(a) (060)",1,,,,,1
"Divorciado(a) (061)",1,,,,1,
"Soltero(a) (062)",68,6,51,9,2,
"Mujeres (064)",48,1,36,3,7,1
"Conviviente (065)",12,,9,,3,
"Separado(a) (066)",5,,2,1,1,1
"Casado(a) (067)",3,,,2,1,
"Viudo(a) (068)",3,,1,,2,
"Soltero(a) (070)",25,1,24,,,
