"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TARMA (000)",106217,3981,11030,12676,11693,17742,15395,24569,9131
"Sabe leer y escribir (001)",93102,,8510,12589,11592,17412,14851,21960,6188
"No sabe leer y escribir (002)",13115,3981,2520,87,101,330,544,2609,2943
"Hombres (004)",52113,2038,5578,6393,5834,8657,7309,11915,4389
"Sabe leer y escribir (005)",47388,,4285,6346,5798,8554,7176,11438,3791
"No sabe leer y escribir (006)",4725,2038,1293,47,36,103,133,477,598
"Mujeres (008)",54104,1943,5452,6283,5859,9085,8086,12654,4742
"Sabe leer y escribir (009)",45714,,4225,6243,5794,8858,7675,10522,2397
"No sabe leer y escribir (010)",8390,1943,1227,40,65,227,411,2132,2345
,,,,,,,,,
"URBANA (012)",68807,2464,6923,7913,7569,11502,10381,16232,5823
"Sabe leer y escribir (013)",61695,,5538,7873,7512,11336,10123,14981,4332
"No sabe leer y escribir (014)",7112,2464,1385,40,57,166,258,1251,1491
"Hombres (016)",33381,1266,3525,4013,3725,5487,4817,7759,2789
"Sabe leer y escribir (017)",30799,,2803,3987,3704,5432,4759,7564,2550
"No sabe leer y escribir (018)",2582,1266,722,26,21,55,58,195,239
"Mujeres (020)",35426,1198,3398,3900,3844,6015,5564,8473,3034
"Sabe leer y escribir (021)",30896,,2735,3886,3808,5904,5364,7417,1782
"No sabe leer y escribir (022)",4530,1198,663,14,36,111,200,1056,1252
,,,,,,,,,
"RURAL (024)",37410,1517,4107,4763,4124,6240,5014,8337,3308
"Sabe leer y escribir (025)",31407,,2972,4716,4080,6076,4728,6979,1856
"No sabe leer y escribir (026)",6003,1517,1135,47,44,164,286,1358,1452
"Hombres (028)",18732,772,2053,2380,2109,3170,2492,4156,1600
"Sabe leer y escribir (029)",16589,,1482,2359,2094,3122,2417,3874,1241
"No sabe leer y escribir (030)",2143,772,571,21,15,48,75,282,359
"Mujeres (032)",18678,745,2054,2383,2015,3070,2522,4181,1708
"Sabe leer y escribir (033)",14818,,1490,2357,1986,2954,2311,3105,615
"No sabe leer y escribir (034)",3860,745,564,26,29,116,211,1076,1093
