"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia VICTOR FAJARDO (000)",316,115,201
"Sin nivel (001)",11,4,7
"Primaria (003)",125,36,89
"Secundaria (004)",122,53,69
"Superior no univ. incompleta (005)",10,3,7
"Superior no univ. completa (006)",28,12,16
"Superior univ. incompleta (007)",4,2,2
"Superior univ. completa (008)",16,5,11
"Hombres (010)",225,63,162
"Sin nivel (011)",4,2,2
"Primaria (013)",88,12,76
"Secundaria (014)",95,38,57
"Superior no univ. incompleta (015)",7,2,5
"Superior no univ. completa (016)",17,6,11
"Superior univ. incompleta (017)",4,2,2
"Superior univ. completa (018)",10,1,9
"Mujeres (020)",91,52,39
"Sin nivel (021)",7,2,5
"Primaria (023)",37,24,13
"Secundaria (024)",27,15,12
"Superior no univ. incompleta (025)",3,1,2
"Superior no univ. completa (026)",11,6,5
"Superior univ. completa (028)",6,4,2
,,,
"AREA URBANA (030)",235,86,149
"Sin nivel (031)",6,2,4
"Primaria (033)",67,17,50
"Secundaria (034)",108,47,61
"Superior no univ. incompleta (035)",9,3,6
"Superior no univ. completa (036)",26,11,15
"Superior univ. incompleta (037)",3,1,2
"Superior univ. completa (038)",16,5,11
"Hombres (040)",176,57,119
"Sin nivel (041)",3,2,1
"Primaria (043)",52,9,43
"Secundaria (044)",86,36,50
"Superior no univ. incompleta (045)",6,2,4
"Superior no univ. completa (046)",16,6,10
"Superior univ. incompleta (047)",3,1,2
"Superior univ. completa (048)",10,1,9
"Mujeres (050)",59,29,30
"Sin nivel (051)",3,,3
"Primaria (053)",15,8,7
"Secundaria (054)",22,11,11
"Superior no univ. incompleta (055)",3,1,2
"Superior no univ. completa (056)",10,5,5
"Superior univ. completa (058)",6,4,2
,,,
"AREA RURAL (060)",81,29,52
"Sin nivel (061)",5,2,3
"Primaria (063)",58,19,39
"Secundaria (064)",14,6,8
"Superior no univ. incompleta (065)",1,,1
"Superior no univ. completa (066)",2,1,1
"Superior univ. incompleta (067)",1,1,
"Hombres (070)",49,6,43
"Sin nivel (071)",1,,1
"Primaria (073)",36,3,33
"Secundaria (074)",9,2,7
"Superior no univ. incompleta (075)",1,,1
"Superior no univ. completa (076)",1,,1
"Superior univ. incompleta (077)",1,1,
"Mujeres (080)",32,23,9
"Sin nivel (081)",4,2,2
"Primaria (083)",22,16,6
"Secundaria (084)",5,4,1
"Superior no univ. completa (086)",1,1,
