"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONCEPCION (000)",59074,30262,28812
"Casa independiente (001)",57551,29562,27989
"Departamento en edificio (002)",26,26,
"Vivienda en quinta (003)",398,398,
"Vivienda en casa de vecindad (004)",220,220,
"Choza o cabaña (005)",822,,822
"Vivienda improvisada (006)",14,14,
"Local no dest.para hab. humana (007)",43,42,1
