"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CASMA (000)",16834,158,5675,5976,4048,977
"Agric., ganadería, caza y silvicultura (001)",5901,68,1962,1801,1505,565
"Pesca (002)",826,5,301,327,173,20
"Explotación de minas y canteras (003)",36,,14,15,6,1
"Industrias manufactureras (004)",1008,4,375,387,210,32
"Suministro de electricidad, gas y agua (005)",35,,8,16,11,
"Construcción (006)",643,2,213,252,159,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2443,29,641,927,702,144
"Venta, mant.y rep. veh.autom.y motoc. (008)",271,2,103,96,60,10
"Comercio al por mayor (009)",242,,79,105,50,8
"Comercio al por menor (010)",1930,27,459,726,592,126
"Hoteles y restaurantes (011)",792,13,225,273,231,50
"Trans., almac. y comunicaciones (012)",1666,7,727,584,306,42
"Intermediación financiera (013)",29,,17,8,4,
"Activid.inmobil., empres. y alquileres (014)",441,,176,173,76,16
"Admin.pub. y defensa; p. segur.soc afil (015)",459,,129,199,121,10
"Enseñanza (016)",793,,122,452,213,6
"Servicios sociales y de salud (017)",165,,37,79,46,3
"Otras activ. serv.comun.soc y personales (018)",319,1,113,118,70,17
"Hogares privados con servicio doméstico (019)",226,6,92,85,41,2
"Actividad economica no especificada (021)",192,,64,68,41,19
"Desocupado (022)",860,23,459,212,133,33
"Hombres (023)",12074,107,4129,4080,2927,831
"Agric., ganadería, caza y silvicultura (024)",5084,51,1678,1517,1306,532
"Pesca (025)",742,4,262,293,163,20
"Explotación de minas y canteras (026)",35,,14,15,5,1
"Industrias manufactureras (027)",581,3,206,213,131,28
"Suministro de electricidad, gas y agua (028)",34,,8,15,11,
"Construcción (029)",631,2,205,249,158,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1244,15,352,445,349,83
"Venta, mant.y rep. veh.autom.y motoc. (031)",249,2,97,86,55,9
"Comercio al por mayor (032)",145,,51,61,27,6
"Comercio al por menor (033)",850,13,204,298,267,68
"Hoteles y restaurantes (034)",240,8,71,73,63,25
"Trans., almac. y comunicaciones (035)",1573,6,675,551,299,42
"Intermediación financiera (036)",17,,9,4,4,
"Activid.inmobil., empres. y alquileres (037)",324,,117,130,62,15
"Admin.pub. y defensa; p. segur.soc afil (038)",289,,63,124,95,7
"Enseñanza (039)",351,,46,188,113,4
"Servicios sociales y de salud (040)",45,,11,17,14,3
