"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia COTABAMBAS (000)",7411,1472,1368,3028,38,1364,141
"Agric., ganadería, caza y silvicultura (001)",3664,8,408,2049,10,1189,
"Explotación de minas y canteras (003)",406,120,277,9,,,
"Industrias manufactureras (004)",203,5,44,137,11,6,
"Suministro de electricidad, gas y agua (005)",16,4,12,,,,
"Construcción (006)",591,16,406,121,4,44,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",393,18,6,314,4,51,
"Venta, mant.y rep. veh.autom y motoc. (008)",22,,6,15,,1,
"Comercio al por mayor (009)",10,1,,6,,3,
"Comercio al por menor (010)",361,17,,293,4,47,
"Hoteles y restaurantes (011)",186,47,11,106,6,16,
"Trans., almac. y comunicaciones (012)",103,41,31,30,,1,
"Intermediación financiera (013)",3,3,,,,,
"Activid.inmobil., empres. y alquileres (014)",99,80,6,12,,1,
"Admin.pub. y defensa; p. segur soc.afil (015)",256,183,73,,,,
"Enseñanza (016)",783,701,,79,,3,
"Servicios sociales y de salud (017)",141,136,,4,,1,
"Otras activ. serv.comun.soc y personales (018)",75,37,23,10,,5,
"Hogares privados con servicio doméstico (019)",141,,,,,,141
"Actividad economica no especificada (021)",351,73,71,157,3,47,
"Hombres (022)",5474,963,1240,2353,23,877,18
"Agric., ganadería, caza y silvicultura (023)",2994,7,359,1836,6,786,
"Explotación de minas y canteras (025)",366,97,260,9,,,
"Industrias manufactureras (026)",138,4,40,83,9,2,
"Suministro de electricidad, gas y agua (027)",14,3,11,,,,
"Construcción (028)",572,16,391,118,4,43,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",156,9,6,129,3,9,
"Venta, mant.y rep. veh.autom y motoc. (030)",19,,6,13,,,
"Comercio al por mayor (031)",4,1,,2,,1,
"Comercio al por menor (032)",133,8,,114,3,8,
"Hoteles y restaurantes (033)",52,29,6,15,,2,
"Trans., almac. y comunicaciones (034)",96,40,28,27,,1,
"Intermediación financiera (035)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (036)",78,64,5,8,,1,
"Admin.pub. y defensa; p. segur soc.afil (037)",212,148,64,,,,
"Enseñanza (038)",463,416,,45,,2,
"Servicios sociales y de salud (039)",51,48,,2,,1,
"Otras activ. serv.comun.soc y personales (040)",56,27,22,5,,2,
"Hogares privados con servicio doméstico (041)",18,,,,,,18
"Actividad economica no especificada (043)",206,53,48,76,1,28,
"Mujeres (044)",1937,509,128,675,15,487,123
"Agric., ganadería, caza y silvicultura (045)",670,1,49,213,4,403,
"Explotación de minas y canteras (047)",40,23,17,,,,
"Industrias manufactureras (048)",65,1,4,54,2,4,
"Suministro de electricidad, gas y agua (049)",2,1,1,,,,
"Construcción (050)",19,,15,3,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",237,9,,185,1,42,
"Venta, mant.y rep. veh.autom y motoc. (052)",3,,,2,,1,
"Comercio al por mayor (053)",6,,,4,,2,
"Comercio al por menor (054)",228,9,,179,1,39,
"Hoteles y restaurantes (055)",134,18,5,91,6,14,
"Trans., almac. y comunicaciones (056)",7,1,3,3,,,
"Intermediación financiera (057)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (058)",21,16,1,4,,,
"Admin.pub. y defensa; p. segur soc.afil (059)",44,35,9,,,,
"Enseñanza (060)",320,285,,34,,1,
"Servicios sociales y de salud (061)",90,88,,2,,,
"Otras activ. serv.comun.soc y personales (062)",19,10,1,5,,3,
"Hogares privados con servicio doméstico (063)",123,,,,,,123
"Actividad economica no especificada (065)",145,20,23,81,2,19,
,,,,,,,
"URBANA (066)",3411,1242,713,1052,22,324,58
"Agric., ganadería, caza y silvicultura (067)",787,7,180,380,6,214,
"Explotación de minas y canteras (069)",292,107,176,9,,,
"Industrias manufactureras (070)",102,5,20,68,7,2,
"Suministro de electricidad, gas y agua (071)",7,4,3,,,,
"Construcción (072)",257,15,182,50,2,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",348,16,6,275,3,48,
"Venta, mant.y rep. veh.autom y motoc. (074)",21,,6,14,,1,
"Comercio al por mayor (075)",10,1,,6,,3,
"Comercio al por menor (076)",317,15,,255,3,44,
"Hoteles y restaurantes (077)",146,35,9,85,2,15,
"Trans., almac. y comunicaciones (078)",83,36,19,27,,1,
"Intermediación financiera (079)",3,3,,,,,
"Activid.inmobil., empres. y alquileres (080)",90,74,3,12,,1,
"Admin.pub. y defensa; p. segur soc.afil (081)",208,160,48,,,,
"Enseñanza (082)",625,578,,44,,3,
"Servicios sociales y de salud (083)",115,111,,4,,,
"Otras activ. serv.comun.soc y personales (084)",64,31,21,8,,4,
"Hogares privados con servicio doméstico (085)",58,,,,,,58
"Actividad economica no especificada (087)",226,60,46,90,2,28,
"Hombres (088)",2327,802,655,664,16,178,12
"Agric., ganadería, caza y silvicultura (089)",646,7,157,335,5,142,
"Explotación de minas y canteras (091)",272,87,176,9,,,
"Industrias manufactureras (092)",81,4,18,53,5,1,
"Suministro de electricidad, gas y agua (093)",6,3,3,,,,
"Construcción (094)",254,15,179,50,2,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",132,7,6,110,3,6,
"Venta, mant.y rep. veh.autom y motoc. (096)",18,,6,12,,,
"Comercio al por mayor (097)",4,1,,2,,1,
"Comercio al por menor (098)",110,6,,96,3,5,
"Hoteles y restaurantes (099)",38,23,4,9,,2,
"Trans., almac. y comunicaciones (100)",79,35,19,24,,1,
"Intermediación financiera (101)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (102)",69,58,2,8,,1,
"Admin.pub. y defensa; p. segur soc.afil (103)",169,128,41,,,,
"Enseñanza (104)",352,329,,21,,2,
"Servicios sociales y de salud (105)",44,42,,2,,,
"Otras activ. serv.comun.soc y personales (106)",46,21,20,4,,1,
"Hogares privados con servicio doméstico (107)",12,,,,,,12
"Actividad economica no especificada (109)",125,41,30,39,1,14,
"Mujeres (110)",1084,440,58,388,6,146,46
"Agric., ganadería, caza y silvicultura (111)",141,,23,45,1,72,
"Explotación de minas y canteras (113)",20,20,,,,,
"Industrias manufactureras (114)",21,1,2,15,2,1,
"Suministro de electricidad, gas y agua (115)",1,1,,,,,
"Construcción (116)",3,,3,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",216,9,,165,,42,
"Venta, mant.y rep. veh.autom y motoc. (118)",3,,,2,,1,
"Comercio al por mayor (119)",6,,,4,,2,
"Comercio al por menor (120)",207,9,,159,,39,
"Hoteles y restaurantes (121)",108,12,5,76,2,13,
"Trans., almac. y comunicaciones (122)",4,1,,3,,,
"Intermediación financiera (123)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (124)",21,16,1,4,,,
"Admin.pub. y defensa; p. segur soc.afil (125)",39,32,7,,,,
"Enseñanza (126)",273,249,,23,,1,
"Servicios sociales y de salud (127)",71,69,,2,,,
