"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia GRAU (000)",8636,31096,26678,,456,85.8,1.5
"De 12 a 14 años (001)",1003,5,5,,,100,
"De 15 a 19 años (002)",943,194,192,61,99,31.4,
"De 20 a 24 años (003)",705,805,778,98,96.6,12.2,
"De 25 a 29 años (004)",727,1506,1457,96,96.7,6.4,
"De 30 a 34 años (005)",733,2259,2147,93,95,4.1,
"De 35 a 39 años (006)",692,3059,2849,70,93.1,2.3,
"De 40 a 44 años (007)",638,3524,3158,32,89.6,0.9,
"De 45 a 49 años (008)",570,3426,3029,6,88.4,0.2,
"De 50 y más años (009)",2625,16318,13063,,80.1,,
"Sin nivel (010)",2698,16038,12849,86,80.1,0.5,
"De 12 a 14 años (011)",5,1,1,,100,,
"De 15 a 19 años (012)",25,17,17,5,100,29.4,
"De 20 a 24 años (013)",56,102,93,7,91.2,6.9,
"De 25 a 29 años (014)",73,199,185,17,93,8.5,
"De 30 a 34 años (015)",108,426,398,21,93.4,4.9,
"De 35 a 39 años (016)",170,916,829,21,90.5,2.3,
"De 40 a 44 años (017)",187,1197,1016,12,84.9,1,
"De 45 a 49 años (018)",209,1415,1195,3,84.5,0.2,
"De 50 y más años (019)",1865,11765,9115,,77.5,,
"Educacion Inicial (020)",16,54,45,3,83.3,5.6,
"De 12 a 14 años (021)",1,,,,,,
"De 15 a 19 años (022)",1,,,,,,
"De 20 a 24 años (023)",4,2,2,1,100,50,
"De 25 a 29 años (024)",3,11,10,,90.9,,
"De 30 a 34 años (025)",3,17,14,,82.4,,
"De 35 a 39 años (026)",4,24,19,2,79.2,8.3,
"Primaria (030)",2706,9789,8812,156,90,1.6,
"De 12 a 14 años (031)",588,4,4,,100,,
"De 15 a 19 años (032)",180,71,71,20,100,28.2,
"De 20 a 24 años (033)",152,250,241,26,96.4,10.4,
"De 25 a 29 años (034)",224,590,570,36,96.6,6.1,
"De 30 a 34 años (035)",252,946,887,37,93.8,3.9,
"De 35 a 39 años (036)",242,1210,1123,21,92.8,1.7,
"De 40 a 44 años (037)",265,1604,1459,14,91,0.9,
"De 45 a 49 años (038)",234,1510,1358,2,89.9,0.1,
"De 50 y más años (039)",569,3604,3099,,86,,
"Secundaria (040)",2462,3986,3780,169,94.8,4.2,
