"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHUCUITO (000)",124979,34521,90458
"Casa independiente (001)",112590,33244,79346
"Departamento en edificio (002)",138,138,
"Vivienda en quinta (003)",89,89,
"Vivienda en casa de vecindad (004)",1004,1004,
"Choza o cabaña (005)",11089,,11089
"Vivienda improvisada (006)",5,5,
"Local no dest.para hab. humana (007)",62,40,22
"Otro tipo (008)",2,1,1
