"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia BOLOGNESI (000)",10942,31956,28962,,513,90.6,1.6
"De 12 a 14 años (001)",988,5,5,,,100,
"De 15 a 19 años (002)",1256,177,170,55,96,31.1,
"De 20 a 24 años (003)",1161,1010,987,130,97.7,12.9,
"De 25 a 29 años (004)",1053,1787,1732,122,96.9,6.8,
"De 30 a 34 años (005)",960,2405,2309,100,96,4.2,
"De 35 a 39 años (006)",939,3121,2969,70,95.1,2.2,
"De 40 a 44 años (007)",793,3238,3066,31,94.7,1,
"De 45 a 49 años (008)",662,3217,3030,5,94.2,0.2,
"De 50 y más años (009)",3130,16996,14694,,86.5,,
"Sin nivel (010)",1801,9130,7785,46,85.3,0.5,
"De 12 a 14 años (011)",22,,,,,,
"De 15 a 19 años (012)",29,9,9,4,100,44.4,
"De 20 a 24 años (013)",51,42,39,5,92.9,11.9,
"De 25 a 29 años (014)",49,113,111,3,98.2,2.7,
"De 30 a 34 años (015)",111,364,356,18,97.8,4.9,
"De 35 a 39 años (016)",112,492,462,11,93.9,2.2,
"De 40 a 44 años (017)",130,591,555,4,93.9,0.7,
"De 45 a 49 años (018)",123,693,639,1,92.2,0.1,
"De 50 y más años (019)",1174,6826,5614,,82.2,,
"Educacion Inicial (020)",109,182,171,7,94,3.8,
"De 12 a 14 años (021)",30,1,1,,100,,
"De 15 a 19 años (022)",11,3,3,,100,,
"De 20 a 24 años (023)",20,23,23,1,100,4.3,
"De 25 a 29 años (024)",14,29,28,2,96.6,6.9,
"De 30 a 34 años (025)",21,62,58,3,93.5,4.8,
"De 35 a 39 años (026)",13,64,58,1,90.6,1.6,
"Primaria (030)",4042,14862,13572,182,91.3,1.2,
"De 12 a 14 años (031)",456,3,3,,100,,
"De 15 a 19 años (032)",261,53,49,13,92.5,24.5,
"De 20 a 24 años (033)",253,321,312,36,97.2,11.2,
"De 25 a 29 años (034)",301,694,663,47,95.5,6.8,
"De 30 a 34 años (035)",310,1044,986,35,94.4,3.4,
"De 35 a 39 años (036)",338,1353,1283,30,94.8,2.2,
"De 40 a 44 años (037)",353,1747,1645,20,94.2,1.1,
"De 45 a 49 años (038)",304,1642,1540,1,93.8,0.1,
"De 50 y más años (039)",1466,8005,7091,,88.6,,
