"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCA SANCOS (000)",3004,2945,11,500,599,439,751,449,165,31,59,10899
"De 12 a 14 años (001)",6,2,,1,1,,,,,,4,3
"De 15 a 19 años (002)",54,51,,50,1,,,,,,3,52
"De 20 a 24 años (003)",261,244,,153,76,14,,1,,,17,354
"De 25 a 29 años (004)",299,285,,86,129,57,11,2,,,14,575
"De 30 a 34 años (005)",312,302,2,64,98,69,63,6,,,10,770
"De 35 a 39 años (006)",342,340,,28,82,76,117,30,7,,2,1183
"De 40 a 44 años (007)",320,319,,24,52,55,119,52,17,,1,1286
"De 45 a 49 años (008)",274,271,1,12,34,41,94,67,19,3,3,1237
"De 50 y más años (009)",1136,1131,8,82,126,127,347,291,122,28,5,5439
"Sin nivel (010)",869,863,4,66,119,112,267,195,88,12,6,3932
"De 15 a 19 años (012)",1,1,,1,,,,,,,,1
"De 20 a 24 años (013)",8,7,,2,3,1,,1,,,1,18
"De 25 a 29 años (014)",18,17,,4,6,4,3,,,,1,43
"De 30 a 34 años (015)",32,31,,7,8,8,6,2,,,1,84
"De 35 a 39 años (016)",41,41,,3,5,11,17,4,1,,,155
"De 40 a 44 años (017)",77,76,,6,10,10,24,18,8,,1,339
"De 45 a 49 años (018)",79,78,1,3,12,6,24,26,6,,1,364
"De 50 y más años (019)",613,612,3,40,75,72,193,144,73,12,1,2928
"Educacion Inicial (020)",7,7,1,2,1,2,1,,,,,15
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
"De 25 a 29 años (024)",3,3,,,1,2,,,,,,8
"De 30 a 34 años (025)",2,2,1,1,,,,,,,,1
"De 35 a 39 años (026)",1,1,,,,,1,,,,,5
