"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHUCUITO (000)",43840,3711,2687,28703,256,7649,834
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",62,62,,,,,
"Profes., científicos e intelectuales (002)",1948,1788,,152,3,5,
"Técnicos de nivel medio y trab. asimilados (003)",490,229,,239,18,4,
"Jefes y empleados de oficina (004)",579,575,,2,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4262,228,23,3532,32,447,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",18018,,5,17870,120,23,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1721,,219,1304,33,165,
"Obreros construc.,conf.,papel, fab., instr. (008)",3011,205,768,1951,41,46,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",12729,315,1633,3082,7,6858,834
"Otra (010)",246,246,,,,,
"Ocupación no especificada (011)",774,63,39,571,2,99,
"Hombres (012)",27164,2765,2192,19322,193,2624,68
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",53,53,,,,,
"Profes., científicos e intelectuales (014)",1439,1326,,107,3,3,
"Técnicos de nivel medio y trab. asimilados (015)",334,146,,176,10,2,
"Jefes y empleados de oficina (016)",407,404,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1505,144,6,1257,19,79,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",13248,,4,13144,89,11,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",971,,196,691,26,58,
"Obreros construc.,conf.,papel, fab., instr. (020)",2945,205,756,1900,40,44,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5652,205,1200,1780,4,2395,68
"Otra (022)",244,244,,,,,
"Ocupación no especificada (023)",366,38,30,265,2,31,
"Mujeres (024)",16676,946,495,9381,63,5025,766
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,9,,,,,
"Profes., científicos e intelectuales (026)",509,462,,45,,2,
"Técnicos de nivel medio y trab. asimilados (027)",156,83,,63,8,2,
"Jefes y empleados de oficina (028)",172,171,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2757,84,17,2275,13,368,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",4770,,1,4726,31,12,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",750,,23,613,7,107,
"Obreros construc.,conf.,papel, fab., instr. (032)",66,,12,51,1,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",7077,110,433,1302,3,4463,766
"Otra (034)",2,2,,,,,
"Ocupación no especificada (035)",408,25,9,306,,68,
,,,,,,,
"URBANA (036)",12309,2360,930,7672,90,976,281
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",22,22,,,,,
"Profes., científicos e intelectuales (038)",1109,1024,,83,2,,
"Técnicos de nivel medio y trab. asimilados (039)",334,164,,154,14,2,
"Jefes y empleados de oficina (040)",343,339,,2,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",2735,159,15,2256,23,282,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",1599,,2,1580,15,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",750,,74,622,18,36,
"Obreros construc.,conf.,papel, fab., instr. (044)",1437,158,349,907,13,10,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",3424,228,469,1833,3,610,281
"Otra (046)",228,228,,,,,
"Ocupación no especificada (047)",328,38,21,235,2,32,
"Hombres (048)",7519,1688,816,4575,65,335,40
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",17,17,,,,,
"Profes., científicos e intelectuales (050)",763,704,,57,2,,
"Técnicos de nivel medio y trab. asimilados (051)",205,99,,97,8,1,
"Jefes y empleados de oficina (052)",216,213,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",956,95,5,787,13,56,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",1185,,2,1171,11,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",476,,70,367,16,23,
"Obreros construc.,conf.,papel, fab., instr. (056)",1406,158,344,883,12,9,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",1911,152,378,1106,1,234,40
"Otra (058)",226,226,,,,,
"Ocupación no especificada (059)",158,24,17,105,2,10,
"Mujeres (060)",4790,672,114,3097,25,641,241
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",5,5,,,,,
"Profes., científicos e intelectuales (062)",346,320,,26,,,
"Técnicos de nivel medio y trab. asimilados (063)",129,65,,57,6,1,
"Jefes y empleados de oficina (064)",127,126,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1779,64,10,1469,10,226,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",414,,,409,4,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",274,,4,255,2,13,
"Obreros construc.,conf.,papel, fab., instr. (068)",31,,5,24,1,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",1513,76,91,727,2,376,241
"Otra (070)",2,2,,,,,
"Ocupación no especificada (071)",170,14,4,130,,22,
,,,,,,,
"RURAL (072)",31531,1351,1757,21031,166,6673,553
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",40,40,,,,,
"Profes., científicos e intelectuales (074)",839,764,,69,1,5,
"Técnicos de nivel medio y trab. asimilados (075)",156,65,,85,4,2,
"Jefes y empleados de oficina (076)",236,236,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",1527,69,8,1276,9,165,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",16419,,3,16290,105,21,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",971,,145,682,15,129,
"Obreros construc.,conf.,papel, fab., instr. (080)",1574,47,419,1044,28,36,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",9305,87,1164,1249,4,6248,553
"Otra (082)",18,18,,,,,
"Ocupación no especificada (083)",446,25,18,336,,67,
"Hombres (084)",19645,1077,1376,14747,128,2289,28
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",36,36,,,,,
"Profes., científicos e intelectuales (086)",676,622,,50,1,3,
"Técnicos de nivel medio y trab. asimilados (087)",129,47,,79,2,1,
"Jefes y empleados de oficina (088)",191,191,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",549,49,1,470,6,23,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",12063,,2,11973,78,10,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",495,,126,324,10,35,
"Obreros construc.,conf.,papel, fab., instr. (092)",1539,47,412,1017,28,35,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",3741,53,822,674,3,2161,28
"Otra (094)",18,18,,,,,
"Ocupación no especificada (095)",208,14,13,160,,21,
"Mujeres (096)",11886,274,381,6284,38,4384,525
