"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CANAS (000)",9582,814,863,4926,135,2292,54,498
"Agric., ganadería, caza y silvicultura (001)",6360,10,182,4028,122,2018,,
"Pesca (002)",4,,1,3,,,,
"Explotación de minas y canteras (003)",19,,19,,,,,
"Industrias manufactureras (004)",332,1,69,158,1,103,,
"Suministro de electricidad, gas y agua (005)",16,3,12,1,,,,
"Construcción (006)",618,7,472,61,,78,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",396,19,3,332,2,40,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",19,1,1,17,,,,
"Comercio al por mayor (009)",13,3,1,9,,,,
"Comercio al por menor (010)",364,15,1,306,2,40,,
"Hoteles y restaurantes (011)",142,23,5,96,4,14,,
"Trans., almac. y comunicaciones (012)",122,34,24,60,3,1,,
"Intermediación financiera (013)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (014)",49,28,10,8,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",201,164,37,,,,,
"Enseñanza (016)",427,393,2,31,,1,,
"Servicios sociales y de salud (017)",60,59,,,,1,,
"Otras activ. serv.comun.soc y personales (018)",61,44,6,11,,,,
"Hogares privados con servicio doméstico (019)",54,,,,,,54,
"Actividad economica no especificada (021)",222,28,21,137,,36,,
"Desocupado (022)",498,,,,,,,498
"Hombres (023)",6218,573,784,3544,90,797,13,417
"Agric., ganadería, caza y silvicultura (024)",3890,9,136,3058,82,605,,
"Pesca (025)",4,,1,3,,,,
"Explotación de minas y canteras (026)",19,,19,,,,,
"Industrias manufactureras (027)",282,1,64,124,1,92,,
"Suministro de electricidad, gas y agua (028)",15,3,11,1,,,,
"Construcción (029)",597,7,463,57,,70,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",170,8,3,149,1,9,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",18,1,1,16,,,,
"Comercio al por mayor (032)",6,2,1,3,,,,
"Comercio al por menor (033)",146,5,1,130,1,9,,
"Hoteles y restaurantes (034)",17,5,1,8,1,2,,
"Trans., almac. y comunicaciones (035)",111,27,23,57,3,1,,
"Intermediación financiera (036)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (037)",41,23,9,7,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",173,140,33,,,,,
"Enseñanza (039)",301,280,2,18,,1,,
"Servicios sociales y de salud (040)",24,23,,,,1,,
"Otras activ. serv.comun.soc y personales (041)",40,30,2,8,,,,
"Hogares privados con servicio doméstico (042)",13,,,,,,13,
"Actividad economica no especificada (044)",103,16,17,54,,16,,
"Desocupado (045)",417,,,,,,,417
"Mujeres (046)",3364,241,79,1382,45,1495,41,81
"Agric., ganadería, caza y silvicultura (047)",2470,1,46,970,40,1413,,
"Industrias manufactureras (050)",50,,5,34,,11,,
"Suministro de electricidad, gas y agua (051)",1,,1,,,,,
"Construcción (052)",21,,9,4,,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",226,11,,183,1,31,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",1,,,1,,,,
"Comercio al por mayor (055)",7,1,,6,,,,
"Comercio al por menor (056)",218,10,,176,1,31,,
"Hoteles y restaurantes (057)",125,18,4,88,3,12,,
"Trans., almac. y comunicaciones (058)",11,7,1,3,,,,
"Activid.inmobil., empres. y alquileres (060)",8,5,1,1,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",28,24,4,,,,,
"Enseñanza (062)",126,113,,13,,,,
"Servicios sociales y de salud (063)",36,36,,,,,,
"Otras activ. serv.comun.soc y personales (064)",21,14,4,3,,,,
"Hogares privados con servicio doméstico (065)",41,,,,,,41,
"Actividad economica no especificada (067)",119,12,4,83,,20,,
,,,,,,,,
"URBANA (068)",1876,482,224,810,32,202,28,98
"Agric., ganadería, caza y silvicultura (069)",591,4,58,372,19,138,,
"Pesca (070)",1,,,1,,,,
"Explotación de minas y canteras (071)",3,,3,,,,,
"Industrias manufactureras (072)",94,1,21,62,1,9,,
"Suministro de electricidad, gas y agua (073)",7,3,4,,,,,
"Construcción (074)",130,4,102,17,,7,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",241,12,1,197,2,29,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",8,1,,7,,,,
"Comercio al por mayor (077)",8,2,,6,,,,
"Comercio al por menor (078)",225,9,1,184,2,29,,
"Hoteles y restaurantes (079)",111,16,1,77,4,13,,
"Trans., almac. y comunicaciones (080)",55,16,9,27,3,,,
"Activid.inmobil., empres. y alquileres (082)",32,18,4,7,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",115,104,11,,,,,
"Enseñanza (084)",231,214,,16,,1,,
"Servicios sociales y de salud (085)",49,49,,,,,,
"Otras activ. serv.comun.soc y personales (086)",40,29,3,8,,,,
"Hogares privados con servicio doméstico (087)",28,,,,,,28,
"Actividad economica no especificada (089)",50,12,7,26,,5,,
"Desocupado (090)",98,,,,,,,98
"Hombres (091)",1157,310,196,480,20,72,7,72
"Agric., ganadería, caza y silvicultura (092)",384,4,40,280,12,48,,
"Pesca (093)",1,,,1,,,,
"Explotación de minas y canteras (094)",3,,3,,,,,
"Industrias manufactureras (095)",76,1,18,49,1,7,,
"Suministro de electricidad, gas y agua (096)",7,3,4,,,,,
"Construcción (097)",126,4,102,13,,7,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",87,5,1,76,1,4,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",8,1,,7,,,,
"Comercio al por mayor (100)",2,1,,1,,,,
"Comercio al por menor (101)",77,3,1,68,1,4,,
"Hoteles y restaurantes (102)",14,3,1,7,1,2,,
"Trans., almac. y comunicaciones (103)",48,11,8,26,3,,,
"Activid.inmobil., empres. y alquileres (105)",26,15,3,6,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",93,84,9,,,,,
"Enseñanza (107)",150,142,,7,,1,,
"Servicios sociales y de salud (108)",18,18,,,,,,
"Otras activ. serv.comun.soc y personales (109)",22,16,1,5,,,,
"Hogares privados con servicio doméstico (110)",7,,,,,,7,
"Actividad economica no especificada (112)",23,4,6,10,,3,,
"Desocupado (113)",72,,,,,,,72
"Mujeres (114)",719,172,28,330,12,130,21,26
"Agric., ganadería, caza y silvicultura (115)",207,,18,92,7,90,,
"Industrias manufactureras (118)",18,,3,13,,2,,
"Construcción (120)",4,,,4,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",154,7,,121,1,25,,
"Comercio al por mayor (123)",6,1,,5,,,,
"Comercio al por menor (124)",148,6,,116,1,25,,
"Hoteles y restaurantes (125)",97,13,,70,3,11,,
"Trans., almac. y comunicaciones (126)",7,5,1,1,,,,
"Activid.inmobil., empres. y alquileres (128)",6,3,1,1,1,,,
