"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MORROPON (000)",47136,778,13887,15363,13052,4056
"Agric., ganadería, caza y silvicultura (001)",25300,483,7214,7291,7163,3149
"Pesca (002)",84,1,51,24,8,
"Explotación de minas y canteras (003)",23,,13,2,8,
"Industrias manufactureras (004)",2435,41,958,805,519,112
"Suministro de electricidad, gas y agua (005)",103,,23,39,33,8
"Construcción (006)",1589,16,428,661,436,48
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6290,134,1619,2295,1872,370
"Venta, mant.y rep. veh.autom.y motoc. (008)",377,7,133,138,79,20
"Comercio al por mayor (009)",277,4,72,110,77,14
"Comercio al por menor (010)",5636,123,1414,2047,1716,336
"Hoteles y restaurantes (011)",1277,40,285,442,435,75
"Trans., almac. y comunicaciones (012)",2639,10,1182,924,493,30
"Intermediación financiera (013)",51,,24,19,7,1
"Activid.inmobil., empres. y alquileres (014)",698,3,288,267,128,12
"Admin.pub. y defensa; p. segur.soc.afil (015)",914,,219,404,275,16
"Enseñanza (016)",1921,,256,876,774,15
"Servicios sociales y de salud (017)",473,,123,225,114,11
"Otras activ. serv.comun.soc y personales (018)",768,14,231,292,188,43
"Hogares privados con servicio doméstico (019)",823,20,456,210,123,14
"Organiz. y organos extraterritoriales (020)",1,,1,,,
"Actividad economica no especificada (021)",1747,16,516,587,476,152
"Hombres (022)",36566,575,10806,11514,10199,3472
"Agric., ganadería, caza y silvicultura (023)",23416,395,6629,6766,6682,2944
"Pesca (024)",78,1,47,22,8,
"Explotación de minas y canteras (025)",22,,12,2,8,
"Industrias manufactureras (026)",1817,30,709,608,382,88
"Suministro de electricidad, gas y agua (027)",92,,18,35,31,8
"Construcción (028)",1543,12,411,645,430,45
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3517,93,966,1195,1051,212
"Venta, mant.y rep. veh.autom.y motoc. (030)",352,7,124,127,74,20
"Comercio al por mayor (031)",171,3,54,66,42,6
"Comercio al por menor (032)",2994,83,788,1002,935,186
"Hoteles y restaurantes (033)",189,11,67,54,46,11
"Trans., almac. y comunicaciones (034)",2566,9,1135,905,487,30
"Intermediación financiera (035)",32,,11,14,6,1
"Activid.inmobil., empres. y alquileres (036)",504,2,177,207,107,11
"Admin.pub. y defensa; p. segur.soc.afil (037)",609,,109,257,229,14
"Enseñanza (038)",726,,67,296,357,6
