"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TUMBES (000)",54707,568,18124,20772,13049,2194
"Agric., ganadería, caza y silvicultura (001)",8180,72,2205,2470,2399,1034
"Pesca (002)",2438,26,979,910,483,40
"Explotación de minas y canteras (003)",46,,15,20,10,1
"Industrias manufactureras (004)",3698,61,1389,1353,788,107
"Suministro de electricidad, gas y agua (005)",110,2,27,48,31,2
"Construcción (006)",2987,13,866,1259,766,83
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",9525,226,3124,3594,2205,376
"Venta, mant.y rep. veh.autom.y motoc. (008)",1036,7,416,384,204,25
"Comercio al por mayor (009)",572,5,230,218,109,10
"Comercio al por menor (010)",7917,214,2478,2992,1892,341
"Hoteles y restaurantes (011)",2756,48,1017,906,692,93
"Trans., almac. y comunicaciones (012)",6069,25,2646,2150,1163,85
"Intermediación financiera (013)",266,,135,93,36,2
"Activid.inmobil., empres. y alquileres (014)",2476,,866,1019,545,46
"Admin.pub. y defensa; p. segur.soc afil (015)",3358,,975,1460,894,29
"Enseñanza (016)",4226,,459,2441,1302,24
"Servicios sociales y de salud (017)",920,,207,455,238,20
"Otras activ. serv.comun.soc y personales (018)",1914,33,714,706,403,58
"Hogares privados con servicio doméstico (019)",1230,21,544,410,228,27
"Organiz. y organos extraterritoriales (020)",1,,,1,,
"Actividad economica no especificada (021)",1529,3,507,562,376,81
"Desocupado (022)",2978,38,1449,915,490,86
"Hombres (023)",38842,419,12860,14138,9580,1845
"Agric., ganadería, caza y silvicultura (024)",7973,71,2126,2421,2350,1005
"Pesca (025)",2326,23,930,870,463,40
"Explotación de minas y canteras (026)",43,,13,20,9,1
"Industrias manufactureras (027)",2666,46,1012,956,561,91
"Suministro de electricidad, gas y agua (028)",105,2,26,44,31,2
"Construcción (029)",2924,13,839,1233,759,80
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",5631,163,1932,1989,1302,245
"Venta, mant.y rep. veh.autom.y motoc. (031)",941,6,371,352,187,25
"Comercio al por mayor (032)",372,5,156,139,65,7
"Comercio al por menor (033)",4318,152,1405,1498,1050,213
"Hoteles y restaurantes (034)",980,22,416,263,238,41
"Trans., almac. y comunicaciones (035)",5800,23,2487,2080,1127,83
"Intermediación financiera (036)",151,,66,60,24,1
"Activid.inmobil., empres. y alquileres (037)",1880,,605,800,438,37
