"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LAMBAYEQUE (000)",5256,168,2636,1231,934,287
"Conviviente (001)",1087,2,387,398,231,69
"Separado(a) (002)",155,1,46,61,36,11
"Casado(a) (003)",1262,,162,425,522,153
"Viudo(a) (004)",68,,1,9,28,30
"Divorciado(a) (005)",6,,,2,4,
"Soltero(a) (006)",2678,165,2040,336,113,24
"Hombres (008)",4047,115,1839,982,839,272
"Conviviente (009)",924,2,287,351,216,68
"Separado(a) (010)",67,,13,24,22,8
"Casado(a) (011)",1136,,127,377,487,145
"Viudo(a) (012)",51,,,2,22,27
"Divorciado(a) (013)",3,,,1,2,
"Soltero(a) (014)",1866,113,1412,227,90,24
"Mujeres (016)",1209,53,797,249,95,15
"Conviviente (017)",163,,100,47,15,1
"Separado(a) (018)",88,1,33,37,14,3
"Casado(a) (019)",126,,35,48,35,8
"Viudo(a) (020)",17,,1,7,6,3
"Divorciado(a) (021)",3,,,1,2,
"Soltero(a) (022)",812,52,628,109,23,
,,,,,,
"AREA URBANA (024)",2693,40,1388,645,500,120
"Conviviente (025)",575,,227,205,123,20
"Separado(a) (026)",93,1,26,43,20,3
"Casado(a) (027)",626,,82,200,274,70
"Viudo(a) (028)",28,,,4,11,13
"Divorciado(a) (029)",6,,,2,4,
"Soltero(a) (030)",1365,39,1053,191,68,14
"Hombres (032)",1958,29,924,471,423,111
"Conviviente (033)",452,,152,170,110,20
"Separado(a) (034)",36,,9,14,11,2
"Casado(a) (035)",526,,59,160,243,64
"Viudo(a) (036)",18,,,1,6,11
"Divorciado(a) (037)",3,,,1,2,
"Soltero(a) (038)",923,29,704,125,51,14
"Mujeres (040)",735,11,464,174,77,9
"Conviviente (041)",123,,75,35,13,
"Separado(a) (042)",57,1,17,29,9,1
"Casado(a) (043)",100,,23,40,31,6
"Viudo(a) (044)",10,,,3,5,2
"Divorciado(a) (045)",3,,,1,2,
"Soltero(a) (046)",442,10,349,66,17,
,,,,,,
"AREA RURAL (048)",2563,128,1248,586,434,167
"Conviviente (049)",512,2,160,193,108,49
"Separado(a) (050)",62,,20,18,16,8
"Casado(a) (051)",636,,80,225,248,83
"Viudo(a) (052)",40,,1,5,17,17
"Soltero(a) (054)",1313,126,987,145,45,10
"Hombres (056)",2089,86,915,511,416,161
"Conviviente (057)",472,2,135,181,106,48
"Separado(a) (058)",31,,4,10,11,6
"Casado(a) (059)",610,,68,217,244,81
"Viudo(a) (060)",33,,,1,16,16
"Soltero(a) (062)",943,84,708,102,39,10
"Mujeres (064)",474,42,333,75,18,6
"Conviviente (065)",40,,25,12,2,1
"Separado(a) (066)",31,,16,8,5,2
"Casado(a) (067)",26,,12,8,4,2
"Viudo(a) (068)",7,,1,4,1,1
"Soltero(a) (070)",370,42,279,43,6,
