"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANTA CRUZ (000)",628,19,312,163,103,31
"Conviviente (001)",165,,55,61,39,10
"Separado(a) (002)",14,,8,2,4,
"Casado(a) (003)",132,,14,52,48,18
"Viudo(a) (004)",5,,1,,2,2
"Divorciado(a) (005)",2,,,2,,
"Soltero(a) (006)",310,19,234,46,10,1
"Hombres (008)",530,15,240,149,96,30
"Conviviente (009)",154,,48,60,37,9
"Separado(a) (010)",6,,3,2,1,
"Casado(a) (011)",123,,12,45,48,18
"Viudo(a) (012)",4,,1,,1,2
"Divorciado(a) (013)",2,,,2,,
"Soltero(a) (014)",241,15,176,40,9,1
"Mujeres (016)",98,4,72,14,7,1
"Conviviente (017)",11,,7,1,2,1
"Separado(a) (018)",8,,5,,3,
"Casado(a) (019)",9,,2,7,,
"Viudo(a) (020)",1,,,,1,
"Soltero(a) (022)",69,4,58,6,1,
,,,,,,
"AREA URBANA (024)",128,1,62,42,18,5
"Conviviente (025)",30,,11,11,8,
"Separado(a) (026)",4,,2,1,1,
"Casado(a) (027)",25,,1,13,6,5
"Viudo(a) (028)",2,,1,,1,
"Divorciado(a) (029)",2,,,2,,
"Soltero(a) (030)",65,1,47,15,2,
"Hombres (032)",95,1,42,31,16,5
"Conviviente (033)",27,,8,11,8,
"Separado(a) (034)",2,,1,1,,
"Casado(a) (035)",18,,1,6,6,5
"Viudo(a) (036)",1,,1,,,
"Divorciado(a) (037)",2,,,2,,
"Soltero(a) (038)",45,1,31,11,2,
"Mujeres (040)",33,,20,11,2,
"Conviviente (041)",3,,3,,,
"Separado(a) (042)",2,,1,,1,
"Casado(a) (043)",7,,,7,,
"Viudo(a) (044)",1,,,,1,
"Soltero(a) (046)",20,,16,4,,
,,,,,,
"AREA RURAL (048)",500,18,250,121,85,26
"Conviviente (049)",135,,44,50,31,10
"Separado(a) (050)",10,,6,1,3,
"Casado(a) (051)",107,,13,39,42,13
"Viudo(a) (052)",3,,,,1,2
"Soltero(a) (054)",245,18,187,31,8,1
"Hombres (056)",435,14,198,118,80,25
"Conviviente (057)",127,,40,49,29,9
"Separado(a) (058)",4,,2,1,1,
"Casado(a) (059)",105,,11,39,42,13
"Viudo(a) (060)",3,,,,1,2
"Soltero(a) (062)",196,14,145,29,7,1
"Mujeres (064)",65,4,52,3,5,1
"Conviviente (065)",8,,4,1,2,1
"Separado(a) (066)",6,,4,,2,
"Casado(a) (067)",2,,2,,,
"Soltero(a) (070)",49,4,42,2,1,
