"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia JAEN (000)",42538,182221,22164,90857,20374,91364
"Casa independiente (001)",38142,165942,19235,81154,18907,84788
"Departamento en edificio (002)",869,2816,869,2816,,
"Vivienda en quinta (003)",1202,3957,1202,3957,,
"Vivienda en casa de vecindad (004)",797,2741,797,2741,,
"Choza o cabaña (005)",1456,6540,,,1456,6540
"Vivienda improvisada (006)",26,85,26,85,,
"Local no dest.para hab. humana (007)",42,124,32,90,10,34
"Otro tipo (008)",4,16,3,14,1,2
