"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia EL DORADO (000)",7376,33628,2921,13077,4455,20551
"Casa independiente (001)",6135,28007,2816,12732,3319,15275
"Departamento en edificio (002)",2,9,2,9,,
"Vivienda en quinta (003)",68,217,68,217,,
"Vivienda en casa de vecindad (004)",20,48,20,48,,
"Choza o cabaña (005)",1127,5244,,,1127,5244
"Vivienda improvisada (006)",9,40,9,40,,
"Local no dest.para hab. humana (007)",7,38,5,29,2,9
"Otro tipo (008)",8,25,1,2,7,23
