"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia HUANUCO (000)",270233,266284,3092,857
"Hombres (001)",133057,131375,1240,442
"Mujeres (002)",137176,134909,1852,415
"Menores de 1 año (003)",4692,3965,535,192
"Hombres (004)",2394,2034,269,91
"Mujeres (005)",2298,1931,266,101
"De 1 a 5 años (006)",29071,27526,960,585
"Hombres (007)",14853,14062,474,317
"Mujeres (008)",14218,13464,486,268
"De 6 a 14 años (009)",58579,58398,147,34
"Hombres (010)",29939,29854,64,21
"Mujeres (011)",28640,28544,83,13
"De 15 a 29 años (012)",77113,76958,145,10
"Hombres (013)",38011,37947,60,4
"Mujeres (014)",39102,39011,85,6
"De 30 a 44 años (015)",49332,49162,164,6
"Hombres (016)",23330,23266,61,3
"Mujeres (017)",26002,25896,103,3
"De 45 a 64 años (018)",36593,36236,350,7
"Hombres (019)",17538,17434,104,
"Mujeres (020)",19055,18802,246,7
"De 65 a más años (021)",14853,14039,791,23
"Hombres (022)",6992,6778,208,6
"Mujeres (023)",7861,7261,583,17
,,,,
"URBANA (024)",163235,161685,1073,477
"Hombres (025)",78698,78039,415,244
"Mujeres (026)",84537,83646,658,233
"Menores de 1 año (027)",2794,2420,263,111
"Hombres (028)",1428,1244,134,50
"Mujeres (029)",1366,1176,129,61
"De 1 a 5 años (030)",15557,14780,428,349
"Hombres (031)",7975,7582,206,187
"Mujeres (032)",7582,7198,222,162
"De 6 a 14 años (033)",31546,31509,31,6
"Hombres (034)",15941,15923,13,5
"Mujeres (035)",15605,15586,18,1
"De 15 a 29 años (036)",49690,49674,15,1
"Hombres (037)",23979,23974,5,
"Mujeres (038)",25711,25700,10,1
"De 30 a 44 años (039)",31473,31448,24,1
"Hombres (040)",14464,14457,7,
"Mujeres (041)",17009,16991,17,1
"De 45 a 64 años (042)",23214,23160,54,
"Hombres (043)",10812,10803,9,
"Mujeres (044)",12402,12357,45,
"De 65 a más años (045)",8961,8694,258,9
"Hombres (046)",4099,4056,41,2
"Mujeres (047)",4862,4638,217,7
,,,,
"RURAL (048)",106998,104599,2019,380
"Hombres (049)",54359,53336,825,198
"Mujeres (050)",52639,51263,1194,182
"Menores de 1 año (051)",1898,1545,272,81
"Hombres (052)",966,790,135,41
"Mujeres (053)",932,755,137,40
"De 1 a 5 años (054)",13514,12746,532,236
"Hombres (055)",6878,6480,268,130
"Mujeres (056)",6636,6266,264,106
"De 6 a 14 años (057)",27033,26889,116,28
"Hombres (058)",13998,13931,51,16
"Mujeres (059)",13035,12958,65,12
"De 15 a 29 años (060)",27423,27284,130,9
"Hombres (061)",14032,13973,55,4
"Mujeres (062)",13391,13311,75,5
"De 30 a 44 años (063)",17859,17714,140,5
"Hombres (064)",8866,8809,54,3
"Mujeres (065)",8993,8905,86,2
"De 45 a 64 años (066)",13379,13076,296,7
"Hombres (067)",6726,6631,95,
"Mujeres (068)",6653,6445,201,7
"De 65 a más años (069)",5892,5345,533,14
"Hombres (070)",2893,2722,167,4
"Mujeres (071)",2999,2623,366,10
