"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN ROMAN (000)",93799,89756,33081,13079,14148,9712,11120,5053,2395,1168,4043,184778
"De 12 a 14 años (001)",8511,8476,8444,30,2,,,,,,35,34
"De 15 a 19 años (002)",13298,13145,12342,695,81,15,12,,,,153,950
"De 20 a 24 años (003)",13149,11578,6857,3369,1084,202,55,11,,,1571,6440
"De 25 a 29 años (004)",11442,10187,2672,3419,2752,958,360,19,7,,1255,13482
"De 30 a 34 años (005)",10305,9811,1141,2233,3316,1837,1113,150,16,5,494,20254
"De 35 a 39 años (006)",9044,8862,538,1252,2690,2026,1815,431,84,26,182,24265
"De 40 a 44 años (007)",7368,7219,338,678,1678,1609,2030,628,216,42,149,24019
"De 45 a 49 años (008)",5973,5912,235,500,1003,1145,1762,822,328,117,61,22977
"De 50 y más años (009)",14709,14566,514,903,1542,1920,3973,2992,1744,978,143,72357
"Sin nivel (010)",7420,7294,446,461,626,763,1821,1521,1013,643,126,37613
"De 12 a 14 años (011)",40,40,38,1,1,,,,,,,3
"De 15 a 19 años (012)",63,63,57,4,1,,1,,,,,10
"De 20 a 24 años (013)",101,89,42,24,15,3,4,1,,,12,85
"De 25 a 29 años (014)",121,109,16,20,36,20,13,3,1,,12,235
"De 30 a 34 años (015)",186,173,16,21,39,42,42,13,,,13,490
"De 35 a 39 años (016)",226,221,17,22,26,49,67,27,11,2,5,806
"De 40 a 44 años (017)",382,370,22,26,44,55,118,59,33,13,12,1606
"De 45 a 49 años (018)",548,539,25,37,38,63,145,116,71,44,9,2773
"De 50 y más años (019)",5753,5690,213,306,426,531,1431,1302,897,584,63,31605
"Educacion Inicial (020)",89,84,49,8,12,8,4,3,,,5,91
"De 12 a 14 años (021)",18,18,18,,,,,,,,,
