"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUAMALIES (000)",15352,66022,4208,18272,11144,47750
"Casa independiente (001)",14516,62887,4105,17914,10411,44973
"Departamento en edificio (002)",3,11,3,11,,
"Vivienda en quinta (003)",29,99,29,99,,
"Vivienda en casa de vecindad (004)",58,197,58,197,,
"Choza o cabaña (005)",727,2764,,,727,2764
"Vivienda improvisada (006)",9,41,9,41,,
"Local no dest.para hab. humana (007)",8,20,4,10,4,10
"Otro tipo (008)",2,3,,,2,3
