"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ALTO AMAZONAS (000)",33372,26639,3132,1771,1830
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,1,12,12,24
"Profes., científicos e intelectuales (002)",2333,620,564,678,471
"Técnicos de nivel medio y trab. asimilados (003)",928,458,132,110,228
"Jefes y empleados de oficina (004)",842,215,122,124,381
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3343,2919,268,87,69
"Agricult.trabaj.calif.agrop.y pesqueros (006)",9802,9204,569,26,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1343,1079,150,86,28
"Obreros construc.,conf.,papel, fab., instr. (008)",2305,1699,245,208,153
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",11280,9648,947,361,324
"Otra (010)",72,,,,72
"Ocupación no especificada (011)",1075,796,123,79,77
"Hombres (012)",23727,18905,2321,1226,1275
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",36,1,9,7,19
"Profes., científicos e intelectuales (014)",1387,385,346,374,282
"Técnicos de nivel medio y trab. asimilados (015)",631,331,95,77,128
"Jefes y empleados de oficina (016)",394,72,48,55,219
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1438,1181,143,61,53
"Agricult.trabaj.calif.agrop.y pesqueros (018)",8983,8431,524,25,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1115,882,127,79,27
"Obreros construc.,conf.,papel, fab., instr. (020)",2255,1658,244,201,152
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",6774,5513,705,289,267
"Otra (022)",70,,,,70
"Ocupación no especificada (023)",644,451,80,58,55
"Mujeres (024)",9645,7734,811,545,555
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",13,,3,5,5
"Profes., científicos e intelectuales (026)",946,235,218,304,189
"Técnicos de nivel medio y trab. asimilados (027)",297,127,37,33,100
"Jefes y empleados de oficina (028)",448,143,74,69,162
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1905,1738,125,26,16
"Agricult.trabaj.calif.agrop.y pesqueros (030)",819,773,45,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",228,197,23,7,1
"Obreros construc.,conf.,papel, fab., instr. (032)",50,41,1,7,1
