"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LIMA (000)",3286770,19394,1141672,1246213,782778,96713
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",10875,,659,4268,5230,718
"Profes., científicos e intelectuales (002)",424336,,94462,194871,122032,12971
"Técnicos de nivel medio y trab. asimilados (003)",341707,228,120973,139625,73858,7023
"Jefes y empleados de oficina (004)",261233,,108336,97124,53181,2592
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",636624,4131,221537,232188,155855,22913
"Agricult. trabaj. calif.agrop. y pesqueros (006)",17465,40,3501,5221,6216,2487
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",419426,1654,181268,141664,83596,11244
"Obreros construc., conf., papel, fab., instr. (008)",390257,712,113108,161521,103026,11890
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",624586,11826,248697,204753,138867,20443
"Otra (010)",47790,,7271,24321,16110,88
"Ocupación no especificada (011)",112471,803,41860,40657,24807,4344
"Hombres (012)",1947635,11111,650707,733625,483928,68264
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",7156,,389,2770,3488,509
"Profes., científicos e intelectuales (014)",209926,,38738,91358,69660,10170
"Técnicos de nivel medio y trab. asimilados (015)",194966,142,63989,79963,45543,5329
"Jefes y empleados de oficina (016)",125432,,47590,47458,28593,1791
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",300930,2135,105760,108005,72557,12473
"Agricult. trabaj. calif.agrop. y pesqueros (018)",14110,31,2868,4146,4995,2070
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",316917,1241,133931,105752,66346,9647
"Obreros construc., conf., papel, fab., instr. (020)",366514,548,104042,152236,98203,11485
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",299317,6507,122165,94872,63811,11962
"Otra (022)",42382,,5432,21773,15094,83
"Ocupación no especificada (023)",69985,507,25803,25292,15638,2745
"Mujeres (024)",1339135,8283,490965,512588,298850,28449
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",3719,,270,1498,1742,209
"Profes., científicos e intelectuales (026)",214410,,55724,103513,52372,2801
"Técnicos de nivel medio y trab. asimilados (027)",146741,86,56984,59662,28315,1694
"Jefes y empleados de oficina (028)",135801,,60746,49666,24588,801
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",335694,1996,115777,124183,83298,10440
