"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia MARISCAL CACERES (000)",37072,6434,7173,7521,6814,4454,4676
"Conviviente (001)",13404,297,2559,4321,3437,1736,1054
"Separado(a) (002)",994,17,83,168,265,222,239
"Casado(a) (003)",8521,31,375,1501,2330,1984,2300
"Viudo(a) (004)",1026,,9,26,60,125,806
"Divorciado(a) (005)",115,,3,6,28,30,48
"Soltero(a) (006)",13012,6089,4144,1499,694,357,229
"Hombres (008)",19917,3360,3838,3929,3807,2543,2440
"Conviviente (009)",6636,59,857,2149,1957,999,615
"Separado(a) (010)",410,3,13,54,118,112,110
"Casado(a) (011)",4292,12,90,592,1190,1074,1334
"Viudo(a) (012)",285,,1,10,20,50,204
"Divorciado(a) (013)",46,,2,3,10,14,17
"Soltero(a) (014)",8248,3286,2875,1121,512,294,160
"Mujeres (016)",17155,3074,3335,3592,3007,1911,2236
"Conviviente (017)",6768,238,1702,2172,1480,737,439
"Separado(a) (018)",584,14,70,114,147,110,129
"Casado(a) (019)",4229,19,285,909,1140,910,966
"Viudo(a) (020)",741,,8,16,40,75,602
"Divorciado(a) (021)",69,,1,3,18,16,31
"Soltero(a) (022)",4764,2803,1269,378,182,63,69
,,,,,,,
"URBANA (024)",23784,4161,4511,4597,4405,2938,3172
"Conviviente (025)",7828,136,1351,2515,2115,1075,636
"Separado(a) (026)",719,7,60,124,195,164,169
"Casado(a) (027)",5797,25,211,928,1599,1407,1627
"Viudo(a) (028)",690,,5,15,37,76,557
"Divorciado(a) (029)",88,,2,5,21,24,36
"Soltero(a) (030)",8662,3993,2882,1010,438,192,147
"Hombres (032)",12197,2109,2362,2265,2302,1590,1569
"Conviviente (033)",3801,41,437,1191,1163,609,360
"Separado(a) (034)",255,1,8,39,68,71,68
"Casado(a) (035)",2875,12,58,352,783,744,926
"Viudo(a) (036)",150,,,4,8,21,117
"Divorciado(a) (037)",28,,1,2,4,10,11
"Soltero(a) (038)",5088,2055,1858,677,276,135,87
"Mujeres (040)",11587,2052,2149,2332,2103,1348,1603
"Conviviente (041)",4027,95,914,1324,952,466,276
"Separado(a) (042)",464,6,52,85,127,93,101
"Casado(a) (043)",2922,13,153,576,816,663,701
"Viudo(a) (044)",540,,5,11,29,55,440
"Divorciado(a) (045)",60,,1,3,17,14,25
"Soltero(a) (046)",3574,1938,1024,333,162,57,60
,,,,,,,
"RURAL (048)",13288,2273,2662,2924,2409,1516,1504
"Conviviente (049)",5576,161,1208,1806,1322,661,418
"Separado(a) (050)",275,10,23,44,70,58,70
"Casado(a) (051)",2724,6,164,573,731,577,673
"Viudo(a) (052)",336,,4,11,23,49,249
"Divorciado(a) (053)",27,,1,1,7,6,12
"Soltero(a) (054)",4350,2096,1262,489,256,165,82
"Hombres (056)",7720,1251,1476,1664,1505,953,871
"Conviviente (057)",2835,18,420,958,794,390,255
"Separado(a) (058)",155,2,5,15,50,41,42
"Casado(a) (059)",1417,,32,240,407,330,408
"Viudo(a) (060)",135,,1,6,12,29,87
"Divorciado(a) (061)",18,,1,1,6,4,6
"Soltero(a) (062)",3160,1231,1017,444,236,159,73
"Mujeres (064)",5568,1022,1186,1260,904,563,633
"Conviviente (065)",2741,143,788,848,528,271,163
"Separado(a) (066)",120,8,18,29,20,17,28
"Casado(a) (067)",1307,6,132,333,324,247,265
"Viudo(a) (068)",201,,3,5,11,20,162
"Divorciado(a) (069)",9,,,,1,2,6
"Soltero(a) (070)",1190,865,245,45,20,6,9
