"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"URBANA (060)",2520,14,68,169,278,510,781,700
"De 12 a 14 años (061)",6,,,,,,,6
"De 15 a 19 años (062)",45,,,,,,24,21
"De 20 a 24 años (063)",214,,,,,1,109,104
"De 25 a 29 años (064)",263,,,,,15,154,94
"De 30 a 34 años (065)",305,,,,,51,174,80
"De 35 a 39 años (066)",381,,,,6,110,185,80
"De 40 a 44 años (067)",275,,,,11,118,91,55
"De 45 a 49 años (068)",244,,,1,42,110,39,52
"De 50 y más años (069)",787,14,68,168,219,105,5,208
"PEA (070)",891,1,5,29,81,217,301,257
"De 15 a 19 años (072)",9,,,,,,5,4
"De 20 a 24 años (073)",53,,,,,,27,26
"De 25 a 29 años (074)",92,,,,,5,42,45
"De 30 a 34 años (075)",128,,,,,19,70,39
"De 35 a 39 años (076)",204,,,,3,55,93,53
"De 40 a 44 años (077)",133,,,,4,60,49,20
"De 45 a 49 años (078)",101,,,,16,47,13,25
"De 50 y más años (079)",171,1,5,29,58,31,2,45
"Ocupada (080)",869,1,5,29,79,215,294,246
"De 15 a 19 años (082)",9,,,,,,5,4
"De 20 a 24 años (083)",47,,,,,,25,22
"De 25 a 29 años (084)",88,,,,,5,41,42
"De 30 a 34 años (085)",123,,,,,18,68,37
"De 35 a 39 años (086)",201,,,,3,54,92,52
"De 40 a 44 años (087)",131,,,,4,60,48,19
"De 45 a 49 años (088)",101,,,,16,47,13,25
"De 50 y más años (089)",169,1,5,29,56,31,2,45
"Desocupada (090)",22,,,,2,2,7,11
"De 20 a 24 años (093)",6,,,,,,2,4
"De 25 a 29 años (094)",4,,,,,,1,3
"De 30 a 34 años (095)",5,,,,,1,2,2
"De 35 a 39 años (096)",3,,,,,1,1,1
"De 40 a 44 años (097)",2,,,,,,1,1
"De 50 y más años (099)",2,,,,2,,,
"No PEA (100)",1629,13,63,140,197,293,480,443
"De 12 a 14 años (101)",6,,,,,,,6
"De 15 a 19 años (102)",36,,,,,,19,17
"De 20 a 24 años (103)",161,,,,,1,82,78
"De 25 a 29 años (104)",171,,,,,10,112,49
"De 30 a 34 años (105)",177,,,,,32,104,41
"De 35 a 39 años (106)",177,,,,3,55,92,27
"De 40 a 44 años (107)",142,,,,7,58,42,35
"De 45 a 49 años (108)",143,,,1,26,63,26,27
"De 50 y más años (109)",616,13,63,139,161,74,3,163
,,,,,,,,
"RURAL (120)",9087,77,264,630,1195,2055,3002,1864
"De 12 a 14 años (121)",21,,,,,,1,20
"De 15 a 19 años (122)",217,,,,,,147,70
"De 20 a 24 años (123)",782,,,,,5,503,274
"De 25 a 29 años (124)",924,,,,,66,623,235
"De 30 a 34 años (125)",1001,,,,,192,630,179
"De 35 a 39 años (126)",1012,,,,9,341,527,135
"De 40 a 44 años (127)",861,,,,51,348,339,123
"De 45 a 49 años (128)",799,,,2,102,396,188,111
"De 50 y más años (129)",3470,77,264,628,1033,707,44,717
"PEA (130)",1016,,21,53,118,238,331,255
"De 12 a 14 años (131)",1,,,,,,,1
"De 15 a 19 años (132)",21,,,,,,12,9
"De 20 a 24 años (133)",98,,,,,2,47,49
"De 25 a 29 años (134)",109,,,,,3,68,38
"De 30 a 34 años (135)",109,,,,,21,63,25
"De 35 a 39 años (136)",133,,,,,39,70,24
"De 40 a 44 años (137)",127,,,,6,53,48,20
"De 45 a 49 años (138)",106,,,1,14,51,20,20
"De 50 y más años (139)",312,,21,52,98,69,3,69
"Ocupada (140)",992,,21,53,118,236,325,239
"De 12 a 14 años (141)",1,,,,,,,1
"De 15 a 19 años (142)",21,,,,,,12,9
"De 20 a 24 años (143)",89,,,,,2,46,41
"De 25 a 29 años (144)",103,,,,,3,65,35
"De 30 a 34 años (145)",108,,,,,21,62,25
"De 35 a 39 años (146)",132,,,,,39,70,23
"De 40 a 44 años (147)",126,,,,6,52,48,20
"De 45 a 49 años (148)",102,,,1,14,50,19,18
"De 50 y más años (149)",310,,21,52,98,69,3,67
"Desocupada (150)",24,,,,,2,6,16
"De 20 a 24 años (153)",9,,,,,,1,8
"De 25 a 29 años (154)",6,,,,,,3,3
"De 30 a 34 años (155)",1,,,,,,1,
"De 35 a 39 años (156)",1,,,,,,,1
"De 40 a 44 años (157)",1,,,,,1,,
"De 45 a 49 años (158)",4,,,,,1,1,2
"De 50 y más años (159)",2,,,,,,,2
"No PEA (160)",8071,77,243,577,1077,1817,2671,1609
"De 12 a 14 años (161)",20,,,,,,1,19
"De 15 a 19 años (162)",196,,,,,,135,61
"De 20 a 24 años (163)",684,,,,,3,456,225
"De 25 a 29 años (164)",815,,,,,63,555,197
"De 30 a 34 años (165)",892,,,,,171,567,154
"De 35 a 39 años (166)",879,,,,9,302,457,111
"De 40 a 44 años (167)",734,,,,45,295,291,103
"De 45 a 49 años (168)",693,,,1,88,345,168,91
"De 50 y más años (169)",3158,77,243,576,935,638,41,648
