"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PACASMAYO (000)",83925,16554,23928,19800,16555,7088
"Sin nivel (001)",5957,415,646,1324,1846,1726
"Educación inicial (002)",1208,1120,61,27,,
"Primaria (003)",28302,11237,3567,4502,5765,3231
"Secundaria (004)",27117,3782,11564,6371,4452,948
"Superior no univ. incompleta (005)",4941,,2586,1439,747,169
"Superior no univ. completa (006)",8431,,2551,3543,1859,478
"Superior univ. incompleta (007)",2967,,1814,624,419,110
"Superior univ. completa (008)",5002,,1139,1970,1467,426
"PEA (010)",33298,394,10172,12144,9099,1489
"Sin nivel (011)",1865,23,261,625,693,263
"Educación inicial (012)",33,2,22,9,,
"Primaria (013)",7975,213,1771,2401,2905,685
"Secundaria (014)",11435,156,4360,3974,2682,263
"Superior no univ. incompleta (015)",2432,,996,933,469,34
"Superior no univ. completa (016)",5160,,1569,2399,1100,92
"Superior univ. incompleta (017)",1235,,479,417,297,42
"Superior univ. completa (018)",3163,,714,1386,953,110
"Ocupada (020)",31502,356,9262,11687,8767,1430
"Sin nivel (021)",1757,16,233,605,659,244
"Educación inicial (022)",31,2,21,8,,
"Primaria (023)",7514,192,1616,2274,2776,656
"Secundaria (024)",10806,146,3985,3830,2589,256
"Superior no univ. incompleta (025)",2304,,906,904,460,34
"Superior no univ. completa (026)",4904,,1423,2320,1070,91
"Superior univ. incompleta (027)",1176,,437,407,290,42
"Superior univ. completa (028)",3010,,641,1339,923,107
