"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia DATEM DEL MARAÑON (000)",8723,48859,2565,13371,6158,35488
"Casa independiente (001)",8055,45218,2459,12972,5596,32246
"Vivienda en quinta (003)",67,234,67,234,,
"Vivienda en casa de vecindad (004)",21,87,21,87,,
"Choza o cabaña (005)",551,3190,,,551,3190
"Vivienda improvisada (006)",15,70,15,70,,
"Local no dest.para hab. humana (007)",7,21,3,8,4,13
"Otro tipo (008)",7,39,,,7,39
