"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SAN IGNACIO (000)",121183,7040,18735,18129,13128,20832,15979,21806,5534
"Sabe leer y escribir (001)",95894,,12130,17784,12774,19579,14391,16420,2816
"No sabe leer y escribir (002)",25289,7040,6605,345,354,1253,1588,5386,2718
"Hombres (004)",64598,3608,9677,9442,7195,11069,8567,11933,3107
"Sabe leer y escribir (005)",53406,,6258,9268,7013,10590,8012,10193,2072
"No sabe leer y escribir (006)",11192,3608,3419,174,182,479,555,1740,1035
"Mujeres (008)",56585,3432,9058,8687,5933,9763,7412,9873,2427
"Sabe leer y escribir (009)",42488,,5872,8516,5761,8989,6379,6227,744
"No sabe leer y escribir (010)",14097,3432,3186,171,172,774,1033,3646,1683
,,,,,,,,,
"URBANA (012)",19362,812,2403,2667,2337,3504,2825,3900,914
"Sabe leer y escribir (013)",17005,,1775,2632,2307,3419,2743,3486,643
"No sabe leer y escribir (014)",2357,812,628,35,30,85,82,414,271
"Hombres (016)",9893,412,1214,1318,1166,1764,1417,2111,491
"Sabe leer y escribir (017)",8844,,896,1301,1146,1718,1387,1992,404
"No sabe leer y escribir (018)",1049,412,318,17,20,46,30,119,87
"Mujeres (020)",9469,400,1189,1349,1171,1740,1408,1789,423
"Sabe leer y escribir (021)",8161,,879,1331,1161,1701,1356,1494,239
"No sabe leer y escribir (022)",1308,400,310,18,10,39,52,295,184
,,,,,,,,,
"RURAL (024)",101821,6228,16332,15462,10791,17328,13154,17906,4620
"Sabe leer y escribir (025)",78889,,10355,15152,10467,16160,11648,12934,2173
"No sabe leer y escribir (026)",22932,6228,5977,310,324,1168,1506,4972,2447
"Hombres (028)",54705,3196,8463,8124,6029,9305,7150,9822,2616
"Sabe leer y escribir (029)",44562,,5362,7967,5867,8872,6625,8201,1668
"No sabe leer y escribir (030)",10143,3196,3101,157,162,433,525,1621,948
"Mujeres (032)",47116,3032,7869,7338,4762,8023,6004,8084,2004
"Sabe leer y escribir (033)",34327,,4993,7185,4600,7288,5023,4733,505
"No sabe leer y escribir (034)",12789,3032,2876,153,162,735,981,3351,1499
