"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia POMABAMBA (000)",346,128,218
"Sin nivel (001)",73,14,59
"Primaria (003)",97,31,66
"Secundaria (004)",94,42,52
"Superior no univ. incompleta (005)",22,15,7
"Superior no univ. completa (006)",32,15,17
"Superior univ. incompleta (007)",8,4,4
"Superior univ. completa (008)",20,7,13
"Hombres (010)",261,79,182
"Sin nivel (011)",51,3,48
"Primaria (013)",75,18,57
"Secundaria (014)",78,32,46
"Superior no univ. incompleta (015)",15,9,6
"Superior no univ. completa (016)",20,9,11
"Superior univ. incompleta (017)",6,4,2
"Superior univ. completa (018)",16,4,12
"Mujeres (020)",85,49,36
"Sin nivel (021)",22,11,11
"Primaria (023)",22,13,9
"Secundaria (024)",16,10,6
"Superior no univ. incompleta (025)",7,6,1
"Superior no univ. completa (026)",12,6,6
"Superior univ. incompleta (027)",2,,2
"Superior univ. completa (028)",4,3,1
,,,
"AREA URBANA (030)",91,37,54
"Sin nivel (031)",8,1,7
"Primaria (033)",12,2,10
"Secundaria (034)",25,9,16
"Superior no univ. incompleta (035)",15,11,4
"Superior no univ. completa (036)",16,7,9
"Superior univ. incompleta (037)",8,4,4
"Superior univ. completa (038)",7,3,4
"Hombres (040)",59,24,35
"Sin nivel (041)",3,,3
"Primaria (043)",9,2,7
"Secundaria (044)",19,6,13
"Superior no univ. incompleta (045)",9,6,3
"Superior no univ. completa (046)",7,4,3
"Superior univ. incompleta (047)",6,4,2
"Superior univ. completa (048)",6,2,4
"Mujeres (050)",32,13,19
"Sin nivel (051)",5,1,4
"Primaria (053)",3,,3
"Secundaria (054)",6,3,3
"Superior no univ. incompleta (055)",6,5,1
"Superior no univ. completa (056)",9,3,6
"Superior univ. incompleta (057)",2,,2
"Superior univ. completa (058)",1,1,
,,,
"AREA RURAL (060)",255,91,164
"Sin nivel (061)",65,13,52
"Primaria (063)",85,29,56
"Secundaria (064)",69,33,36
"Superior no univ. incompleta (065)",7,4,3
"Superior no univ. completa (066)",16,8,8
"Superior univ. completa (068)",13,4,9
"Hombres (070)",202,55,147
"Sin nivel (071)",48,3,45
"Primaria (073)",66,16,50
"Secundaria (074)",59,26,33
"Superior no univ. incompleta (075)",6,3,3
"Superior no univ. completa (076)",13,5,8
"Superior univ. completa (078)",10,2,8
"Mujeres (080)",53,36,17
"Sin nivel (081)",17,10,7
"Primaria (083)",19,13,6
"Secundaria (084)",10,7,3
"Superior no univ. incompleta (085)",1,1,
"Superior no univ. completa (086)",3,3,
"Superior univ. completa (088)",3,2,1
